14,,,API,15,4,(B),(B),(B),(B),2,(B),(B),(B),(B),2,(B),(B),(B),(B)
15,,,Hispanic,27,15,(B),(B),(B),(B),12,(B),(B),(B),(B),10,(B),(B),(B),(B)
16,,,White,"2,391","2,370",99.1,0.6,2.7,3.0,"1,783",74.5,0.6,2.7,3.0,"1,453",60.8,0.6,2.7,3.0
17,,,Black,859,846,98.6,1.5,5.5,6.1,619,72.0,1.5,5.5,6.1,491,57.2,1.5,5.5,6.1
18,ALASKA,ALASKA,Total,412,399,96.8,1.0,2.6,2.7,299,72.5,1.0,2.6,2.7,270,65.5,1.0,2.6,2.7
19,,,Male,202,197,97.4,1.3,3.6,3.9,148,73.4,1.3,3.6,3.9,133,65.7,1.3,3.6,3.9
20,,,Female,210,202,96.3,1.5,3.6,3.8,150,71.6,1.5,3.6,3.8,137,65.4,1.5,3.6,3.8
21,,,N-H White,316,309,97.7,1.0,2.8,3.0,240,75.9,1.0,2.8,3.0,222,70.1,1.0,2.8,3.0
22,,,N-H Black,13,13,(B),(B),(B),(B),7,(B),(B),(B),(B),7,(B),(B),(B),(B)
23,,,API,15,9,(B),(B),(B),(B),7,(B),(B),(B),(B),5,(B),(B),(B),(B)
24,,,Hispanic,12,11,(B),(B),(B),(B),6,(B),(B),(B),(B),5,(B),(B),(B),(B)
25,,,White,327,319,97.5,1.0,2.8,3.0,245,75.0,1.0,2.8,3.0,227,69.3,1.0,2.8,3.0
26,,,Black,13,13,(B),(B),(B),(B),7,(B),(B),(B),(B),7,(B),(B),(B),(B)
27,ARIZONA,ARIZONA,Total,"3,524","3,129",88.8,1.6,2.5,2.5,"1,879",53.3,1.6,2.5,2.5,"1,644",46.7,1.6,2.5,2.5
28,,,Male,"1,734","1,528",88.1,2.3,3.5,3.5,885,51.0,2.3,3.5,3.5,773,44.6,2.3,3.5,3.5
29,,,Female,"1,789","1,601",89.5,2.1,3.4,3.5,994,55.5,2.1,3.4,3.5,871,48.7,2.1,3.4,3.5
30,,,N-H White,"2,315","2,280",98.5,0.7,2.9,3.0,"1,477",63.8,0.7,2.9,3.0,"1,319",57.0,0.7,2.9,3.0
31,,,N-H Black,106,103,97.5,5.4,17.2,16.2,51,47.9,5.4,17.2,16.2,35,32.7,5.4,17.2,16.2
32,,,API,132,68,51.6,16.1,11.8,10.8,21,15.9,16.1,11.8,10.8,17,12.8,16.1,11.8,10.8
33,,,Hispanic,910,616,67.7,7.1,7.2,6.8,304,33.4,7.1,7.2,6.8,247,27.1,7.1,7.2,6.8
34,,,White,"3,205","2,881",89.9,1.6,2.6,2.6,"1,773",55.3,1.6,2.6,2.6,"1,560",48.7,1.6,2.6,2.6
35,,,Black,114,111,97.7,5.0,16.6,15.5,53,46.2,5.0,16.6,15.5,36,32.1,5.0,16.6,15.5
36,ARKANSAS,ARKANSAS,Total,"1,893","1,851",97.8,0.8,2.6,2.6,"1,125",59.4,0.8,2.6,2.6,936,49.4,0.8,2.6,2.6
37,,,Male,897,869,96.9,1.3,3.8,3.8,513,57.2,1.3,3.8,3.8,423,47.2,1.3,3.8,3.8
38,,,Female,996,982,98.5,0.9,3.5,3.6,612,61.4,0.9,3.5,3.6,512,51.4,0.9,3.5,3.6
39,,,N-H White,"1,489","1,486",99.8,0.3,2.9,3.0,911,61.2,0.3,2.9,3.0,752,50.5,0.3,2.9,3.0
40,,,N-H Black,331,329,99.3,1.2,7.4,7.6,199,60.0,1.2,7.4,7.6,173,52.2,1.2,7.4,7.6
41,,,API,13,11,(B),(B),(B),(B),8,(B),(B),(B),(B),6,(B),(B),(B),(B)
42,,,Hispanic,51,16,(B),(B),(B),(B),5,(B),(B),(B),(B),3,(B),(B),(B),(B)
43,,,White,"1,540","1,502",97.5,0.9,2.9,2.9,916,59.5,0.9,2.9,2.9,755,49.0,0.9,2.9,2.9
44,,,Black,331,329,99.3,1.2,7.4,7.6,199,60.0,1.2,7.4,7.6,173,52.2,1.2,7.4,7.6
45,CALIFORNIA,CALIFORNIA,Total,"24,749","19,837",80.2,0.9,1.1,1.1,"13,061",52.8,0.9,1.1,1.1,"11,489",46.4,0.9,1.1,1.1
46,,,Male,"11,932","9,554",80.1,1.2,1.5,1.5,"6,170",51.7,1.2,1.5,1.5,"5,463",45.8,1.2,1.5,1.5
47,,,Female,"12,817","10,283",80.2,1.2,1.5,1.5,"6,891",53.8,1.2,1.5,1.5,"6,027",47.0,1.2,1.5,1.5
48,,,N-H White,"13,362","12,659",94.7,0.7,1.4,1.4,"8,979",67.2,0.7,1.4,1.4,"8,071",60.4,0.7,1.4,1.4
49,,,N-H Black,"1,651","1,590",96.3,1.9,4.9,5.0,"1,032",62.5,1.9,4.9,5.0,867,52.5,1.9,4.9,5.0
50,,,API,"3,027","1,908",63.0,3.7,3.7,3.5,"1,007",33.3,3.7,3.7,3.5,848,28.0,3.7,3.7,3.5
51,,,Hispanic,"6,514","3,489",53.6,3.3,3.0,2.8,"1,919",29.5,3.3,3.0,2.8,"1,597",24.5,3.3,3.0,2.8
52,,,White,"19,770","16,060",81.2,0.9,1.2,1.2,"10,839",54.8,0.9,1.2,1.2,"9,618",48.7,0.9,1.2,1.2
53,,,Black,"1,678","1,606",95.7,2.0,4.8,5.0,"1,039",61.9,2.0,4.8,5.0,873,52.0,2.0,4.8,5.0
54,COLORADO,COLORADO,Total,"3,049","2,854",93.6,1.3,2.5,2.6,"1,954",64.1,1.3,2.5,2.6,"1,633",53.6,1.3,2.5,2.6
55,,,Male,"1,514","1,383",91.3,2.1,3.5,3.7,959,63.4,2.1,3.5,3.7,805,53.1,2.1,3.5,3.7
56,,,Female,"1,535","1,471",95.9,1.5,3.5,3.6,995,64.8,1.5,3.5,3.6,829,54.0,1.5,3.5,3.6
57,,,N-H White,"2,377","2,346",98.7,0.7,2.7,2.9,"1,666",70.1,0.7,2.7,2.9,"1,412",59.4,0.7,2.7,2.9
58,,,N-H Black,115,110,95.7,6.5,15.5,16.2,74,64.2,6.5,15.5,16.2,54,46.8,6.5,15.5,16.2
59,,,API,53,24,(B),(B),(B),(B),6,(B),(B),(B),(B),2,(B),(B),(B),(B)
60,,,Hispanic,478,349,72.9,9.1,10.1,9.7,199,41.5,9.1,10.1,9.7,158,33.0,9.1,10.1,9.7
61,,,White,"2,838","2,678",94.4,1.2,2.6,2.7,"1,853",65.3,1.2,2.6,2.7,"1,559",54.9,1.2,2.6,2.7
62,,,Black,116,112,95.8,6.5,15.5,16.0,74,63.3,6.5,15.5,16.0,54,46.1,6.5,15.5,16.0
63,CONNECTICUT,CONNECTICUT,Total,"2,415","2,239",92.7,1.6,2.9,3.0,"1,510",62.5,1.6,2.9,3.0,"1,332",55.2,1.6,2.9,3.0
64,,,Male,"1,146","1,054",92.0,2.4,4.3,4.4,682,59.5,2.4,4.3,4.4,605,52.8,2.4,4.3,4.4
65,,,Female,"1,268","1,184",93.4,2.1,4.0,4.1,828,65.3,2.1,4.0,4.1,727,57.3,2.1,4.0,4.1
66,,,N-H White,"1,894","1,838",97.0,1.2,3.2,3.4,"1,274",67.3,1.2,3.2,3.4,"1,124",59.4,1.2,3.2,3.4
67,,,N-H Black,308,253,82.2,7.9,10.3,10.2,158,51.3,7.9,10.3,10.2,133,43.1,7.9,10.3,10.2
68,,,API,63,20,(B),(B),(B),(B),9,(B),(B),(B),(B),9,(B),(B),(B),(B)
69,,,Hispanic,139,120,86.4,13.6,19.8,19.7,64,45.8,13.6,19.8,19.7,61,44.0,13.6,19.8,19.7
70,,,White,"2,020","1,951",96.6,1.2,3.1,3.3,"1,331",65.9,1.2,3.1,3.3,"1,178",58.3,1.2,3.1,3.3
71,,,Black,317,256,80.7,8.0,10.1,10.0,161,50.6,8.0,10.1,10.0,135,42.7,8.0,10.1,10.0
72,DELAWARE,DELAWARE,Total,567,543,95.9,1.2,2.7,2.9,385,67.9,1.2,2.7,2.9,352,62.2,1.2,2.7,2.9
73,,,Male,267,253,94.7,1.9,4.1,4.2,173,64.8,1.9,4.1,4.2,155,57.9,1.9,4.1,4.2
74,,,Female,299,290,96.9,1.4,3.7,3.8,211,70.6,1.4,3.7,3.8,197,66.0,1.4,3.7,3.8
75,,,N-H White,424,412,97.3,1.1,3.1,3.2,305,72.1,1.1,3.1,3.2,277,65.4,1.1,3.1,3.2
76,,,N-H Black,110,109,98.6,1.9,7.9,8.0,67,60.9,1.9,7.9,8.0,64,57.9,1.9,7.9,8.0
77,,,API,9,3,(B),(B),(B),(B),3,(B),(B),(B),(B),3,(B),(B),(B),(B)
78,,,Hispanic,20,15,(B),(B),(B),(B),8,(B),(B),(B),(B),8,(B),(B),(B),(B)
79,,,White,443,427,96.4,1.2,3.0,3.2,313,70.7,1.2,3.0,3.2,284,64.1,1.2,3.0,3.2
80,,,Black,111,109,98.7,1.9,7.8,7.9,68,61.2,1.9,7.8,7.9,64,58.2,1.9,7.8,7.9
81,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,Total,407,373,91.5,1.7,2.7,2.8,295,72.4,1.7,2.7,2.8,267,65.6,1.7,2.7,2.8
82,,,Male,191,173,90.6,2.6,4.1,4.3,130,67.8,2.6,4.1,4.3,114,59.8,2.6,4.1,4.3
83,,,Female,216,200,92.4,2.2,3.5,3.7,165,76.6,2.2,3.5,3.7,153,70.8,2.2,3.5,3.7
84,,,N-H White,120,111,92.5,2.9,4.4,4.9,97,80.5,2.9,4.4,4.9,88,73.4,2.9,4.4,4.9
85,,,N-H Black,254,249,98.1,1.2,4.0,4.3,188,74.1,1.2,4.0,4.3,170,66.9,1.2,4.0,4.3
86,,,API,8,4,(B),(B),(B),(B),3,(B),(B),(B),(B),3,(B),(B),(B),(B)
87,,,Hispanic,26,9,(B),(B),(B),(B),7,(B),(B),(B),(B),6,(B),(B),(B),(B)
88,,,White,140,117,83.7,3.8,4.6,4.8,102,72.5,3.8,4.6,4.8,92,65.7,3.8,4.6,4.8
89,,,Black,258,251,97.2,1.5,4.0,4.3,190,73.6,1.5,4.0,4.3,172,66.6,1.5,4.0,4.3
90,FLORIDA,FLORIDA,Total,"11,633","10,081",86.7,0.9,1.3,1.4,"7,043",60.5,0.9,1.3,1.4,"6,006",51.6,0.9,1.3,1.4
91,,,Male,"5,533","4,749",85.8,1.4,1.9,2.0,"3,228",58.3,1.4,1.9,2.0,"2,740",49.5,1.4,1.9,2.0
92,,,Female,"6,100","5,332",87.4,1.2,1.8,1.9,"3,816",62.6,1.2,1.8,1.9,"3,266",53.5,1.2,1.8,1.9
93,,,N-H White,"7,789","7,515",96.5,0.6,1.5,1.6,"5,391",69.2,0.6,1.5,1.6,"4,658",59.8,0.6,1.5,1.6
94,,,N-H Black,"1,406","1,147",81.6,3.7,4.7,4.7,761,54.1,3.7,4.7,4.7,607,43.2,3.7,4.7,4.7
95,,,API,223,111,49.6,12.4,11.6,10.4,71,31.7,12.4,11.6,10.4,50,22.4,12.4,11.6,10.4
96,,,Hispanic,"2,162","1,265",58.5,4.9,4.8,4.6,802,37.1,4.9,4.8,4.6,678,31.4,4.9,4.8,4.6
97,,,White,"9,886","8,754",88.6,0.9,1.4,1.5,"6,176",62.5,0.9,1.4,1.5,"5,320",53.8,0.9,1.4,1.5
98,,,Black,"1,467","1,169",79.7,3.7,4.6,4.6,773,52.7,3.7,4.6,4.6,620,42.3,3.7,4.6,4.6
99,GEORGIA,GEORGIA,Total,"5,775","5,553",96.1,0.9,2.3,2.3,"3,528",61.1,0.9,2.3,2.3,"2,827",49.0,0.9,2.3,2.3
100,,,Male,"2,697","2,584",95.8,1.4,3.3,3.4,"1,609",59.7,1.4,3.3,3.4,"1,270",47.1,1.4,3.3,3.4
101,,,Female,"3,078","2,969",96.5,1.2,3.1,3.2,"1,919",62.3,1.2,3.1,3.2,"1,557",50.6,1.2,3.1,3.2
102,,,N-H White,"3,601","3,557",98.8,0.6,2.9,2.9,"2,198",61.0,0.6,2.9,2.9,"1,787",49.6,0.6,2.9,2.9
103,,,N-H Black,"1,929","1,878",97.3,1.6,4.6,4.9,"1,293",67.0,1.6,4.6,4.9,"1,007",52.2,1.6,4.6,4.9
104,,,API,72,45,(B),(B),(B),(B),7,(B),(B),(B),(B),4,(B),(B),(B),(B)
105,,,Hispanic,169,69,41.0,21.0,15.5,15.5,26,15.6,21.0,15.5,15.5,26,15.6,21.0,15.5,15.5
106,,,White,"3,743","3,612",96.5,1.1,2.8,2.9,"2,221",59.3,1.1,2.8,2.9,"1,810",48.3,1.1,2.8,2.9
107,,,Black,"1,956","1,892",96.7,1.7,4.6,4.8,"1,296",66.3,1.7,4.6,4.8,"1,010",51.6,1.7,4.6,4.8
108,HAWAII,HAWAII,Total,855,771,90.1,1.8,3.0,3.0,402,47.0,1.8,3.0,3.0,340,39.7,1.8,3.0,3.0
109,,,Male,413,372,90.0,2.6,4.3,4.2,183,44.3,2.6,4.3,4.2,154,37.3,2.6,4.3,4.2
110,,,Female,442,399,90.2,2.5,4.2,4.2,219,49.5,2.5,4.2,4.2,186,42.0,2.5,4.2,4.2
111,,,N-H White,193,183,94.7,2.8,6.3,6.4,110,57.0,2.8,6.3,6.4,99,51.1,2.8,6.3,6.4
112,,,N-H Black,16,16,(B),(B),(B),(B),7,(B),(B),(B),(B),2,(B),(B),(B),(B)
113,,,API,618,548,88.7,2.8,4.5,4.4,273,44.1,2.8,4.5,4.4,230,37.3,2.8,4.5,4.4
114,,,Hispanic,29,24,(B),(B),(B),(B),13,(B),(B),(B),(B),10,(B),(B),(B),(B)
115,,,White,216,201,93.1,3.1,6.0,6.0,121,56.0,3.1,6.0,6.0,106,49.1,3.1,6.0,6.0
116,,,Black,16,16,(B),(B),(B),(B),7,(B),(B),(B),(B),2,(B),(B),(B),(B)
117,IDAHO,IDAHO,Total,927,892,96.1,1.0,2.4,2.5,569,61.4,1.0,2.4,2.5,500,53.9,1.0,2.4,2.5
118,,,Male,447,426,95.3,1.5,3.6,3.6,265,59.3,1.5,3.6,3.6,232,51.9,1.5,3.6,3.6
119,,,Female,480,465,96.9,1.2,3.4,3.5,304,63.3,1.2,3.4,3.5,268,55.8,1.2,3.4,3.5
120,,,N-H White,839,833,99.4,0.4,2.5,2.6,551,65.7,0.4,2.5,2.6,489,58.3,0.4,2.5,2.6
121,,,N-H Black,4,4,(B),(B),(B),(B),-,(B),(B),(B),(B),-,(B),(B),(B),(B)
122,,,API,14,7,(B),(B),(B),(B),3,(B),(B),(B),(B),2,(B),(B),(B),(B)
123,,,Hispanic,58,35,(B),(B),(B),(B),10,(B),(B),(B),(B),7,(B),(B),(B),(B)
124,,,White,896,867,96.8,0.9,2.5,2.5,561,62.6,0.9,2.5,2.5,496,55.3,0.9,2.5,2.5
125,,,Black,4,4,(B),(B),(B),(B),-,(B),(B),(B),(B),-,(B),(B),(B),(B)
126,ILLINOIS,ILLINOIS,Total,"8,859","8,118",91.6,0.9,1.5,1.6,"5,911",66.7,0.9,1.5,1.6,"5,030",56.8,0.9,1.5,1.6
127,,,Male,"4,207","3,812",90.6,1.3,2.2,2.3,"2,726",64.8,1.3,2.2,2.3,"2,310",54.9,1.3,2.2,2.3
128,,,Female,"4,652","4,306",92.6,1.1,2.0,2.1,"3,185",68.5,1.1,2.0,2.1,"2,720",58.5,1.1,2.0,2.1
129,,,N-H White,"6,434","6,228",96.8,0.7,1.7,1.8,"4,564",70.9,0.7,1.7,1.8,"3,842",59.7,0.7,1.7,1.8
130,,,N-H Black,"1,334","1,305",97.8,1.4,4.3,4.6,995,74.6,1.4,4.3,4.6,894,67.0,1.4,4.3,4.6
131,,,API,306,170,55.8,10.7,9.2,8.8,75,24.4,10.7,9.2,8.8,65,21.1,10.7,9.2,8.8
132,,,Hispanic,771,400,51.9,8.4,8.0,7.6,262,34.0,8.4,8.0,7.6,218,28.3,8.4,8.0,7.6
133,,,White,"7,174","6,603",92.0,0.9,1.6,1.7,"4,810",67.0,0.9,1.6,1.7,"4,043",56.4,0.9,1.6,1.7
134,,,Black,"1,342","1,313",97.8,1.4,4.3,4.6,998,74.4,1.4,4.3,4.6,897,66.9,1.4,4.3,4.6
135,INDIANA,INDIANA,Total,"4,380","4,303",98.3,0.7,2.5,2.6,"3,000",68.5,0.7,2.5,2.6,"2,564",58.5,0.7,2.5,2.6
136,,,Male,"2,157","2,121",98.3,1.0,3.6,3.7,"1,424",66.0,1.0,3.6,3.7,"1,217",56.4,1.0,3.6,3.7
137,,,Female,"2,223","2,183",98.2,1.0,3.4,3.6,"1,576",70.9,1.0,3.4,3.6,"1,347",60.6,1.0,3.4,3.6
138,,,N-H White,"3,958","3,921",99.1,0.5,2.5,2.7,"2,777",70.2,0.5,2.5,2.7,"2,368",59.8,0.5,2.5,2.7
139,,,N-H Black,286,286,100.0,0.0,12.3,12.5,168,58.7,0.0,12.3,12.5,148,52.0,0.0,12.3,12.5
140,,,API,35,14,(B),(B),(B),(B),11,(B),(B),(B),(B),11,(B),(B),(B),(B)
141,,,Hispanic,79,61,(B),(B),(B),(B),29,(B),(B),(B),(B),21,(B),(B),(B),(B)
142,,,White,"4,037","3,982",98.6,0.6,2.5,2.7,"2,807",69.5,0.6,2.5,2.7,"2,389",59.2,0.6,2.5,2.7
143,,,Black,286,286,100.0,0.0,12.3,12.5,168,58.7,0.0,12.3,12.5,148,52.0,0.0,12.3,12.5
144,IOWA,IOWA,Total,"2,110","2,008",95.2,1.2,2.5,2.6,"1,524",72.2,1.2,2.5,2.6,"1,353",64.1,1.2,2.5,2.6
145,,,Male,"1,049",992,94.5,1.8,3.6,3.8,733,69.9,1.8,3.6,3.8,650,62.0,1.8,3.6,3.8
146,,,Female,"1,061","1,017",95.8,1.5,3.4,3.6,790,74.5,1.5,3.4,3.6,703,66.3,1.5,3.4,3.6
147,,,N-H White,"1,920","1,905",99.2,0.5,2.4,2.7,"1,460",76.1,0.5,2.4,2.7,"1,301",67.7,0.5,2.4,2.7
148,,,N-H Black,81,72,(B),(B),(B),(B),42,(B),(B),(B),(B),34,(B),(B),(B),(B)
149,,,API,20,2,(B),(B),(B),(B),-,(B),(B),(B),(B),-,(B),(B),(B),(B)
150,,,Hispanic,89,29,(B),(B),(B),(B),22,(B),(B),(B),(B),19,(B),(B),(B),(B)
151,,,White,"2,009","1,934",96.3,1.1,2.5,2.7,"1,482",73.8,1.1,2.5,2.7,"1,320",65.7,1.1,2.5,2.7
152,,,Black,81,72,(B),(B),(B),(B),42,(B),(B),(B),(B),34,(B),(B),(B),(B)
153,KANSAS,KANSAS,Total,"1,908","1,861",97.5,0.9,2.6,2.7,"1,293",67.7,0.9,2.6,2.7,"1,148",60.2,0.9,2.6,2.7
154,,,Male,927,904,97.5,1.2,3.8,3.9,600,64.7,1.2,3.8,3.9,528,57.0,1.2,3.8,3.9
155,,,Female,981,958,97.6,1.2,3.5,3.7,693,70.6,1.2,3.5,3.7,620,63.2,1.2,3.5,3.7
156,,,N-H White,"1,707","1,699",99.5,0.4,2.7,2.8,"1,198",70.2,0.4,2.7,2.8,"1,066",62.5,0.4,2.7,2.8
157,,,N-H Black,103,103,(B),(B),13.1,14.0,72,70.3,(B),13.1,14.0,63,60.9,(B),13.1,14.0
158,,,API,29,11,(B),(B),(B),(B),5,(B),(B),(B),(B),5,(B),(B),(B),(B)
159,,,Hispanic,50,28,(B),(B),(B),(B),8,(B),(B),(B),(B),7,(B),(B),(B),(B)
160,,,White,"1,757","1,727",98.3,0.7,2.7,2.8,"1,206",68.7,0.7,2.7,2.8,"1,073",61.1,0.7,2.7,2.8
161,,,Black,103,103,(B),(B),13.1,14.0,72,70.3,(B),13.1,14.0,63,60.9,(B),13.1,14.0
162,KENTUCKY,KENTUCKY,Total,"2,996","2,918",97.4,0.8,2.4,2.6,"2,087",69.7,0.8,2.4,2.6,"1,645",54.9,0.8,2.4,2.6
163,,,Male,"1,398","1,356",97.0,1.3,3.5,3.8,963,68.8,1.3,3.5,3.8,760,54.3,1.3,3.5,3.8
164,,,Female,"1,597","1,562",97.8,1.1,3.3,3.6,"1,125",70.4,1.1,3.3,3.6,886,55.5,1.1,3.3,3.6
165,,,N-H White,"2,668","2,642",99.1,0.5,2.5,2.7,"1,911",71.6,0.5,2.5,2.7,"1,498",56.2,0.5,2.5,2.7
166,,,N-H Black,230,230,(B),(B),11.1,11.4,141,61.2,(B),11.1,11.4,121,52.8,(B),11.1,11.4
167,,,API,17,9,(B),(B),(B),(B),7,(B),(B),(B),(B),4,(B),(B),(B),(B)
168,,,Hispanic,71,26,(B),(B),(B),(B),19,(B),(B),(B),(B),17,(B),(B),(B),(B)
169,,,White,"2,738","2,669",97.4,0.9,2.5,2.7,"1,930",70.5,0.9,2.5,2.7,"1,515",55.3,0.9,2.5,2.7
170,,,Black,230,230,(B),(B),11.1,11.4,141,61.2,(B),11.1,11.4,121,52.8,(B),11.1,11.4
171,LOUISIANA,LOUISIANA,Total,"3,143","3,091",98.4,0.7,2.2,2.5,"2,369",75.4,0.7,2.2,2.5,"2,030",64.6,0.7,2.2,2.5
172,,,Male,"1,434","1,401",97.7,1.1,3.4,3.7,"1,049",73.2,1.1,3.4,3.7,903,63.0,1.1,3.4,3.7
173,,,Female,"1,709","1,690",98.9,0.7,2.9,3.3,"1,320",77.2,0.7,2.9,3.3,"1,127",66.0,0.7,2.9,3.3
174,,,N-H White,"2,142","2,134",99.6,0.4,2.6,2.9,"1,670",78.0,0.4,2.6,2.9,"1,442",67.3,0.4,2.6,2.9
175,,,N-H Black,884,884,100.0,0.0,5.2,5.7,647,73.3,0.0,5.2,5.7,555,62.8,0.0,5.2,5.7
176,,,API,44,11,(B),(B),(B),(B),3,(B),(B),(B),(B),3,(B),(B),(B),(B)
177,,,Hispanic,61,50,(B),(B),(B),(B),38,(B),(B),(B),(B),22,(B),(B),(B),(B)
178,,,White,"2,194","2,176",99.1,0.6,2.6,2.9,"1,700",77.5,0.6,2.6,2.9,"1,456",66.4,0.6,2.6,2.9
179,,,Black,892,892,100.0,0.0,5.2,5.7,656,73.5,0.0,5.2,5.7,564,63.2,0.0,5.2,5.7
180,MAINE,MAINE,Total,979,966,98.7,0.7,2.3,2.7,786,80.3,0.7,2.3,2.7,677,69.2,0.7,2.3,2.7
181,,,Male,465,461,99.1,0.8,3.3,3.9,374,80.4,0.8,3.3,3.9,315,67.7,0.8,3.3,3.9
182,,,Female,514,505,98.3,1.0,3.2,3.6,412,80.3,1.0,3.2,3.6,362,70.5,1.0,3.2,3.6
183,,,N-H White,962,949,98.7,0.7,2.3,2.7,775,80.6,0.7,2.3,2.7,667,69.4,0.7,2.3,2.7
184,,,N-H Black,6,6,(B),(B),(B),(B),4,(B),(B),(B),(B),4,(B),(B),(B),(B)
185,,,API,5,5,(B),(B),(B),(B),3,(B),(B),(B),(B),3,(B),(B),(B),(B)
186,,,Hispanic,4,4,(B),(B),(B),(B),4,(B),(B),(B),(B),3,(B),(B),(B),(B)
187,,,White,966,953,98.7,0.7,2.3,2.7,779,80.7,0.7,2.3,2.7,670,69.4,0.7,2.3,2.7
188,,,Black,6,6,(B),(B),(B),(B),4,(B),(B),(B),(B),4,(B),(B),(B),(B)
189,MARYLAND,MARYLAND,Total,"3,812","3,565",93.5,1.4,2.7,2.8,"2,499",65.6,1.4,2.7,2.8,"2,178",57.1,1.4,2.7,2.8
190,,,Male,"1,838","1,681",91.5,2.3,4.0,4.1,"1,129",61.4,2.3,4.0,4.1,970,52.8,2.3,4.0,4.1
191,,,Female,"1,974","1,883",95.4,1.6,3.6,3.8,"1,371",69.5,1.6,3.6,3.8,"1,208",61.2,1.6,3.6,3.8
192,,,N-H White,"2,461","2,408",97.9,1.0,3.3,3.5,"1,661",67.5,1.0,3.3,3.5,"1,432",58.2,1.0,3.3,3.5
193,,,N-H Black,"1,125","1,043",92.7,3.3,5.9,6.2,765,68.0,3.3,5.9,6.2,679,60.4,3.3,5.9,6.2
194,,,API,83,59,(B),(B),(B),(B),27,(B),(B),(B),(B),27,(B),(B),(B),(B)
195,,,Hispanic,131,38,29.1,21.8,20.2,20.2,30,22.9,21.8,20.2,20.2,30,22.9,21.8,20.2,20.2
196,,,White,"2,549","2,425",95.1,1.5,3.3,3.4,"1,673",65.6,1.5,3.3,3.4,"1,444",56.7,1.5,3.3,3.4
197,,,Black,"1,165","1,065",91.4,3.5,5.8,6.1,784,67.3,3.5,5.8,6.1,698,59.9,3.5,5.8,6.1
198,MASSACHUSETTS,MASSACHUSETTS,Total,"4,614","4,246",92.0,1.1,1.8,1.9,"3,244",70.3,1.1,1.8,1.9,"2,772",60.1,1.1,1.8,1.9
199,,,Male,"2,212","2,009",90.8,1.6,2.6,2.8,"1,519",68.7,1.6,2.6,2.8,"1,296",58.6,1.6,2.6,2.8
200,,,Female,"2,403","2,237",93.1,1.4,2.5,2.7,"1,725",71.8,1.4,2.5,2.7,"1,476",61.4,1.4,2.5,2.7
201,,,N-H White,"3,979","3,793",95.3,0.9,1.9,2.0,"2,973",74.7,0.9,1.9,2.0,"2,566",64.5,0.9,1.9,2.0
202,,,N-H Black,275,220,80.0,7.9,9.8,9.8,144,52.5,7.9,9.8,9.8,131,47.7,7.9,9.8,9.8
203,,,API,109,55,50.3,16.3,13.4,13.4,23,21.5,16.3,13.4,13.4,23,21.5,16.3,13.4,13.4
204,,,Hispanic,251,175,69.7,12.3,13.1,10.7,103,41.0,12.3,13.1,10.7,51,20.4,12.3,13.1,10.7
205,,,White,"4,189","3,930",93.8,1.0,1.8,2.0,"3,047",72.7,1.0,1.8,2.0,"2,590",61.8,1.0,1.8,2.0
206,,,Black,311,256,82.3,7.0,9.2,9.2,173,55.8,7.0,9.2,9.2,158,50.8,7.0,9.2,9.2
