Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total  ,Percent citizen (18+),Margin of error1,Total  ,Percent registered (18+),Margin of error1,Total  ,Percent voted (18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"13,302","10,651",80.1,1.2,"7,498",56.4,1.5,"6,785",51.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"20,083","15,913",79.2,1.0,"11,286",56.2,1.2,"10,273",51.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"12,350","11,777",95.4,0.7,"8,976",72.7,1.4,"8,311",67.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,678","1,564",93.2,2.6,"1,141",68.0,4.8,"1,035",61.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,"3,524","2,511",71.3,3.3,"1,318",37.4,3.6,"1,113",31.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),"8,127","4,433",54.5,3.0,"2,455",30.2,2.8,"2,081",25.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"20,410","16,234",79.5,1.0,"11,515",56.4,1.2,"10,468",51.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"12,590","12,015",95.4,0.6,"9,147",72.7,1.4,"8,453",67.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,757","1,642",93.5,2.5,"1,193",67.9,4.6,"1,077",61.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,"3,636","2,620",72.1,3.2,"1,379",37.9,3.5,"1,162",31.9,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"3,398","3,109",91.5,1.1,"2,307",67.9,1.9,"2,097",61.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,691","1,546",91.4,1.6,"1,134",67.1,2.6,"1,016",60.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,708","1,563",91.5,1.6,"1,173",68.7,2.6,"1,081",63.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"3,098","2,843",91.8,1.1,"2,162",69.8,1.9,"1,972",63.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,561","2,516",98.2,0.6,"1,978",77.2,1.9,"1,827",71.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,123,114,92.7,6.6,67,54.3,12.6,56,45.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,87,63,(B),(B),23,(B),(B),18,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),574,361,62.9,7.3,204,35.6,7.3,165,28.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"3,153","2,899",91.9,1.1,"2,199",69.7,1.9,"2,008",63.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,602","2,557",98.3,0.6,"2,004",77.0,1.9,"1,851",71.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,130,121,93.1,6.2,72,55.2,12.2,57,43.9,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,94,70,(B),(B),28,(B),(B),23,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"2,606","2,409",92.5,1.1,"1,695",65.0,2.0,"1,524",58.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,246","1,147",92.1,1.6,775,62.2,2.9,704,56.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,359","1,262",92.8,1.5,919,67.6,2.7,820,60.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,278","2,143",94.1,1.0,"1,519",66.7,2.1,"1,369",60.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,113","2,018",95.5,0.9,"1,460",69.1,2.1,"1,319",62.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,233,207,88.8,5.2,135,57.9,8.2,117,50.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,75,39,(B),(B),28,(B),(B),26,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),170,130,76.6,10.7,64,37.6,12.2,56,32.9,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,291","2,156",94.1,1.0,"1,527",66.6,2.1,"1,376",60.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,125","2,030",95.5,0.9,"1,467",69.0,2.1,"1,324",62.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,237,211,89.0,5.2,138,58.2,8.1,120,50.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,75,39,(B),(B),28,(B),(B),26,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,612,579,94.6,1.1,415,67.7,2.3,385,62.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,292,272,93.4,1.7,189,64.9,3.3,174,59.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,320,307,95.8,1.3,225,70.3,3.1,211,65.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,485,462,95.3,1.2,344,70.9,2.5,322,66.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,445,441,99.0,0.6,333,74.8,2.5,311,69.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,108,105,97.3,2.3,63,58.4,6.9,57,52.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,12,5,(B),(B),3,(B),(B),3,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),44,24,(B),(B),13,(B),(B),12,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,488,464,95.1,1.2,346,70.9,2.5,323,66.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,447,443,99.0,0.6,335,74.9,2.5,312,69.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,111,107,97.0,2.4,65,58.8,6.8,58,52.3,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,12,6,(B),(B),3,(B),(B),3,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,435,390,89.6,1.5,293,67.4,2.4,270,62.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,199,176,88.1,2.4,130,65.0,3.6,118,59.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,236,214,90.8,2.0,164,69.4,3.2,152,64.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,179,149,83.3,2.9,122,68.1,3.7,116,64.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,150,140,93.5,2.1,115,77.1,3.6,110,73.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,240,229,95.6,1.7,163,68.2,3.8,146,61.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,9,5,(B),(B),4,(B),(B),3,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),38,15,(B),(B),10,(B),(B),9,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,184,153,83.4,2.9,124,67.7,3.6,118,64.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,151,141,93.4,2.1,116,77.1,3.6,111,73.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,242,231,95.6,1.7,165,68.4,3.8,148,61.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,10,6,(B),(B),5,(B),(B),4,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"13,133","11,469",87.3,0.9,"8,219",62.6,1.3,"7,372",56.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"6,266","5,393",86.1,1.3,"3,784",60.4,1.9,"3,375",53.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"6,867","6,075",88.5,1.2,"4,434",64.6,1.7,"3,997",58.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"10,871","9,635",88.6,0.9,"7,030",64.7,1.4,"6,349",58.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"8,594","8,279",96.3,0.6,"6,169",71.8,1.5,"5,577",64.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,832","1,490",81.3,3.3,965,52.6,4.3,815,44.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,260,185,71.4,10.7,97,37.2,11.4,86,33.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),"2,422","1,444",59.6,4.7,924,38.2,4.7,824,34.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"11,011","9,770",88.7,0.9,"7,135",64.8,1.4,"6,450",58.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"8,701","8,384",96.4,0.6,"6,251",71.8,1.5,"5,656",65.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,873","1,528",81.6,3.3,994,53.1,4.2,841,44.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,277,203,73.2,10.1,112,40.2,11.2,99,35.7,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"6,338","5,866",92.6,1.2,"3,948",62.3,2.2,"3,332",52.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"3,070","2,793",91.0,1.9,"1,791",58.4,3.3,"1,503",49.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"3,268","3,074",94.1,1.5,"2,157",66.0,3.1,"1,829",56.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"4,390","4,068",92.7,1.4,"2,788",63.5,2.7,"2,351",53.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"4,051","3,993",98.6,0.7,"2,753",68.0,2.7,"2,327",57.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,688","1,598",94.7,2.4,"1,083",64.2,5.2,919,54.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,194,133,68.5,15.5,43,22.1,13.9,31,16.1,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),376,86,22.8,12.5,36,9.6,8.8,26,7.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"4,431","4,110",92.8,1.4,"2,808",63.4,2.7,"2,368",53.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"4,093","4,035",98.6,0.7,"2,773",67.8,2.7,"2,343",57.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,703","1,614",94.8,2.4,"1,089",64.0,5.2,925,54.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,194,133,68.5,15.5,43,22.1,13.9,31,16.1,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,938,852,90.8,1.4,497,53.0,2.3,433,46.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,448,414,92.3,1.8,228,50.9,3.4,196,43.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,490,438,89.4,2.0,269,54.9,3.2,237,48.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,208,196,94.0,2.4,148,71.2,4.5,130,62.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,186,178,95.9,2.1,139,74.7,4.6,121,65.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,17,17,(B),(B),7,(B),(B),6,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,475,411,86.4,2.9,228,48.0,4.2,200,42.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),55,48,(B),(B),23,(B),(B),19,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,321,309,96.1,1.6,207,64.3,3.8,181,56.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,284,276,97.3,1.4,190,66.8,4.0,166,58.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,21,21,(B),(B),9,(B),(B),8,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,602,536,89.1,2.3,294,48.8,3.7,257,42.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,996,948,95.3,1.0,663,66.5,2.3,585,58.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,487,462,94.9,1.5,317,65.2,3.3,273,56.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,509,487,95.6,1.4,345,67.9,3.2,311,61.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,942,897,95.3,1.1,644,68.4,2.3,571,60.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,857,848,99.0,0.5,626,73.1,2.3,558,65.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,5,5,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,15,12,(B),(B),4,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),89,53,(B),(B),19,(B),(B),14,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,960,916,95.4,1.0,654,68.1,2.3,580,60.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,872,864,99.0,0.5,636,72.9,2.3,567,65.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,7,7,(B),(B),1,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,17,14,(B),(B),5,(B),(B),4,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"9,303","8,640",92.9,0.8,"6,437",69.2,1.4,"5,672",61.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"4,469","4,143",92.7,1.1,"3,049",68.2,2.0,"2,640",59.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"4,835","4,497",93.0,1.1,"3,388",70.1,1.9,"3,032",62.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"7,648","7,112",93.0,0.9,"5,376",70.3,1.5,"4,708",61.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"6,676","6,524",97.7,0.5,"5,037",75.4,1.5,"4,418",66.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,277","1,268",99.3,0.8,919,72.0,4.5,855,66.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,277,201,72.5,9.9,99,35.6,10.7,75,27.1,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),"1,031",608,59.0,7.1,343,33.2,6.8,294,28.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"7,685","7,147",93.0,0.9,"5,404",70.3,1.5,"4,733",61.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"6,714","6,558",97.7,0.5,"5,064",75.4,1.5,"4,443",66.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
