STATE,Population  18 and over,Total   citizen,Percent   citizen,Standard      error,Total   registered,Percent   registered,Standard      error,Total    voted,Percent     voted,Standard     error,,,,,
N-H White,171,165,97.0,1.41,108,63.2,3.95,90,52.6,4.09,,,,,
N-H Black,7,7,(B),(B),6,(B),(B),5,(B),(B),,,,,
N-H API,645,563,87.2,1.78,332,51.5,2.66,301,46.6,2.66,,,,,
Hispanic,28,27,(B),(B),13,(B),(B),13,(B),(B),,,,,
White,192,187,97.3,1.25,117,60.7,3.77,98,50.9,3.86,,,,,
Black,7,7,(B),(B),6,(B),(B),5,(B),(B),,,,,
IDAHO Total,881,833,94.5,0.72,528,60.0,1.55,396,45.0,1.58,,,,,
Male,450,423,94.1,1.04,259,57.6,2.19,189,42.1,2.19,,,,,
Female,431,409,95.0,0.99,269,62.5,2.19,207,48.1,2.26,,,,,
N-H White,787,781,99.2,0.29,513,65.2,1.60,385,49.0,1.68,,,,,
N-H Black,3,3,(B),(B),1,(B),(B),1,(B),(B),,,,,
N-H API,7,6,(B),(B),2,(B),(B),.,(B),(B),,,,,
Hispanic,72,31,(B),(B),8,(B),(B),7,(B),(B),,,,,
White,859,812,94.5,0.73,521,60.6,1.57,392,45.6,1.60,,,,,
Black,3,3,(B),(B),1,(B),(B),1,(B),(B),,,,,
ILLINOIS Total,"8,659","8,009",92.5,0.51,"5,530",63.9,0.93,"3,857",44.5,0.97,,,,,
Male,"4,187","3,834",91.6,0.78,"2,598",62.0,1.36,"1,821",43.5,1.39,,,,,
Female,"4,472","4,175",93.4,0.67,"2,932",65.6,1.29,"2,036",45.5,1.35,,,,,
N-H White,"6,411","6,251",97.5,0.35,"4,402",68.7,1.05,"3,009",46.9,1.13,,,,,
N-H Black,"1,153","1,141",98.9,0.67,820,71.1,2.92,647,56.1,3.20,,,,,
N-H API,310,178,57.5,6.42,63,20.4,5.23,34,10.9,4.04,,,,,
Hispanic,755,412,54.6,5.15,229,30.3,4.76,156,20.7,4.19,,,,,
White,"7,130","6,633",93.0,0.55,"4,623",64.8,1.02,"3,162",44.3,1.06,,,,,
Black,"1,179","1,161",98.4,0.79,828,70.2,2.92,650,55.1,3.17,,,,,
INDIANA Total,"4,377","4,318",98.7,0.37,"2,702",61.7,1.56,"1,751",40.0,1.57,,,,,
Male,"2,098","2,069",98.6,0.54,"1,272",60.7,2.27,811,38.6,2.26,,,,,
Female,"2,279","2,250",98.7,0.50,"1,429",62.7,2.15,940,41.2,2.19,,,,,
N-H White,"3,912","3,885",99.3,0.28,"2,465",63.0,1.64,"1,596",40.8,1.67,,,,,
N-H Black,306,306,100.0,0,187,61.3,7.17,138,45.1,7.32,,,,,
N-H API,65,48,(B),(B),15,(B),(B),8,(B),(B),,,,,
Hispanic,83,68,(B),(B),34,(B),(B),9,(B),(B),,,,,
White,"3,983","3,941",99.0,0.34,"2,500",62.8,1.63,"1,605",40.3,1.65,,,,,
Black,313,313,100.0,0,187,59.8,7.13,138,44.0,7.22,,,,,
IOWA Total,"2,102","2,063",98.2,0.45,"1,562",74.3,1.45,"1,084",51.6,1.66,,,,,
Male,"1,017",993,97.7,0.72,737,72.5,2.14,510,50.1,2.39,,,,,
Female,"1,085","1,070",98.6,0.54,825,76.0,1.98,574,52.9,2.31,,,,,
N-H White,"2,007","1,994",99.4,0.27,"1,511",75.3,1.47,"1,068",53.2,1.70,,,,,
N-H Black,21,21,(B),(B),14,(B),(B),4,(B),(B),,,,,
N-H API,28,13,(B),(B),10,(B),(B),2,(B),(B),,,,,
Hispanic,24,13,(B),(B),9,(B),(B),.,(B),(B),,,,,
White,"2,031","2,007",98.8,0.36,"1,520",74.9,1.47,"1,068",52.6,1.69,,,,,
Black,21,21,(B),(B),14,(B),(B),4,(B),(B),,,,,
KANSAS Total,"1,868","1,799",96.3,0.64,"1,191",63.8,1.62,749,40.1,1.65,,,,,
Male,898,871,96.9,0.84,562,62.6,2.36,360,40.1,2.39,,,,,
Female,969,928,95.7,0.95,629,64.9,2.24,389,40.1,2.30,,,,,
N-H White,"1,645","1,633",99.3,0.31,"1,134",68.9,1.66,725,44.1,1.79,,,,,
N-H Black,87,87,(B),(B),31,(B),(B),12,(B),(B),,,,,
N-H API,52,22,(B),(B),.,(B),(B),.,(B),(B),,,,,
Hispanic,71,44,(B),(B),19,(B),(B),8,(B),(B),,,,,
White,"1,708","1,673",98.0,0.49,"1,150",67.3,1.66,733,42.9,1.75,,,,,
Black,91,91,(B),(B),34,(B),(B),12,(B),(B),,,,,
KENTUCKY Total,"2,956","2,905",98.3,0.41,"1,921",65.0,1.52,"1,311",44.4,1.59,,,,,
Male,"1,445","1,429",98.9,0.48,937,64.9,2.18,652,45.1,2.27,,,,,
Female,"1,511","1,476",97.7,0.67,984,65.1,2.13,659,43.6,2.21,,,,,
N-H White,"2,736","2,712",99.1,0.31,"1,825",66.7,1.56,"1,255",45.9,1.65,,,,,
N-H Black,175,165,94.5,3.63,78,44.6,7.90,51,29.1,7.22,,,,,
N-H API,17,10,(B),(B),8,(B),(B),.,(B),(B),,,,,
Hispanic,21,10,(B),(B),5,(B),(B),.,(B),(B),,,,,
White,"2,757","2,723",98.8,0.36,"1,831",66.4,1.56,"1,255",45.5,1.65,,,,,
Black,175,165,94.5,3.63,78,44.6,7.90,51,29.1,7.22,,,,,
LOUISIANA Total,"3,114","3,073",98.7,0.36,"2,261",72.6,1.41,"1,193",38.3,1.54,,,,,
Male,"1,508","1,486",98.5,0.55,"1,097",72.7,2.02,592,39.2,2.22,,,,,
Female,"1,606","1,587",98.8,0.48,"1,165",72.5,1.96,601,37.4,2.13,,,,,
N-H White,"2,000","1,995",99.8,0.19,"1,513",75.6,1.69,724,36.2,1.90,,,,,
N-H Black,980,972,99.2,0.61,681,69.5,3.14,450,46.0,3.40,,,,,
N-H API,50,29,(B),(B),18,(B),(B),.,(B),(B),,,,,
Hispanic,66,58,(B),(B),41,(B),(B),14,(B),(B),,,,,
White,"2,066","2,053",99.4,0.30,"1,554",75.2,1.68,738,35.7,1.86,,,,,
Black,980,972,99.2,0.61,681,69.5,3.14,450,46.0,3.40,,,,,
MAINE Total,938,932,99.4,0.28,704,75.0,1.55,450,47.9,1.79,,,,,
Male,458,456,99.6,0.31,333,72.7,2.29,212,46.2,2.56,,,,,
Female,480,476,99.1,0.47,371,77.2,2.11,238,49.6,2.51,,,,,
N-H White,919,914,99.4,0.27,692,75.3,1.57,441,48.0,1.81,,,,,
N-H Black,4,4,(B),(B),1,(B),(B),.,(B),(B),,,,,
N-H API,5,4,(B),(B),4,(B),(B),4,(B),(B),,,,,
Hispanic,3,3,(B),(B),3,(B),(B),2,(B),(B),,,,,
White,922,917,99.4,0.27,695,75.4,1.56,443,48.1,1.81,,,,,
Black,4,4,(B),(B),1,(B),(B),.,(B),(B),,,,,
MARYLAND Total,"3,861","3,555",92.1,0.92,"2,331",60.4,1.67,"1,825",47.3,1.71,,,,,
Male,"1,842","1,711",92.9,1.27,"1,100",59.7,2.43,874,47.5,2.47,,,,,
Female,"2,019","1,844",91.3,1.33,"1,231",61.0,2.31,950,47.1,2.36,,,,,
N-H White,"2,658","2,581",97.1,0.69,"1,713",64.5,1.97,"1,309",49.2,2.06,,,,,
N-H Black,906,862,95.1,1.84,549,60.6,4.18,470,51.9,4.27,,,,,
N-H API,162,50,30.9,9.75,39,24.2,9.04,25,15.6,7.67,,,,,
Hispanic,131,58,44.5,14.50,25,19.3,11.51,21,15.7,10.61,,,,,
White,"2,758","2,625",95.2,0.87,"1,738",63.0,1.95,"1,329",48.2,2.02,,,,,
Black,931,876,94.0,2.00,549,58.9,4.15,470,50.5,4.22,,,,,
MASSACHUSETTS Total,"4,594","4,234",92.2,0.65,"2,947",64.2,1.15,"2,124",46.2,1.20,,,,,
Male,"2,229","2,042",91.6,0.96,"1,425",63.9,1.66,"1,059",47.5,1.72,,,,,
Female,"2,365","2,192",92.7,0.87,"1,522",64.3,1.60,"1,065",45.0,1.67,,,,,
N-H White,"4,072","3,899",95.7,0.51,"2,787",68.5,1.19,"2,017",49.5,1.28,,,,,
N-H Black,206,164,79.6,5.54,89,43.0,6.80,65,31.7,6.39,,,,,
N-H API,94,51,(B),(B),22,(B),(B),10,(B),(B),,,,,
Hispanic,217,117,53.8,8.66,47,21.6,7.15,30,13.6,5.96,,,,,
White,"4,282","4,011",93.7,0.61,"2,830",66.1,1.18,"2,042",47.7,1.24,,,,,
Black,213,168,79.2,5.49,93,43.8,6.71,70,32.8,6.35,,,,,
MICHIGAN Total,"7,227","7,029",97.3,0.33,"5,217",72.2,0.92,"3,590",49.7,1.03,,,,,
Male,"3,491","3,386",97.0,0.50,"2,470",70.8,1.34,"1,689",48.4,1.48,,,,,
Female,"3,736","3,644",97.5,0.44,"2,747",73.5,1.26,"1,901",50.9,1.43,,,,,
N-H White,"5,927","5,843",98.6,0.27,"4,371",73.7,1.00,"3,020",51.0,1.13,,,,,
N-H Black,986,967,98.1,0.91,708,71.8,3.03,496,50.3,3.36,,,,,
N-H API,90,38,(B),(B),19,(B),(B),12,(B),(B),,,,,
Hispanic,196,156,79.6,7.88,108,55.0,9.74,52,26.3,8.61,,,,,
White,"6,108","5,987",98.0,0.31,"4,469",73.2,0.99,"3,070",50.3,1.12,,,,,
Black,997,979,98.1,0.90,716,71.8,3.01,496,49.7,3.35,,,,,
MINNESOTA Total,"3,443","3,356",97.5,0.51,"2,787",80.9,1.28,"2,212",64.2,1.56,,,,,
Male,"1,740","1,700",97.7,0.69,"1,394",80.1,1.82,"1,098",63.1,2.21,,,,,
Female,"1,703","1,657",97.3,0.75,"1,393",81.8,1.78,"1,114",65.4,2.20,,,,,
N-H White,"3,200","3,182",99.4,0.25,"2,720",85.0,1.20,"2,175",68.0,1.57,,,,,
N-H Black,58,51,(B),(B),23,(B),(B),14,(B),(B),,,,,
N-H API,87,58,(B),(B),21,(B),(B),14,(B),(B),,,,,
Hispanic,69,36,(B),(B),11,(B),(B),8,(B),(B),,,,,
White,"3,266","3,216",98.5,0.41,"2,730",83.6,1.24,"2,182",66.8,1.57,,,,,
Black,61,53,(B),(B),23,(B),(B),14,(B),(B),,,,,
MISSISSIPPI Total,"1,975","1,958",99.2,0.30,"1,446",73.2,1.44,793,40.2,1.60,,,,,
Male,886,875,98.8,0.53,630,71.1,2.21,329,37.2,2.35,,,,,
Female,"1,089","1,083",99.4,0.33,816,75.0,1.90,464,42.6,2.17,,,,,
N-H White,"1,255","1,254",99.9,0.16,951,75.8,1.75,516,41.1,2.01,,,,,
N-H Black,670,670,(B),(B),478,71.3,3.06,271,40.4,3.32,,,,,
N-H API,23,12,(B),(B),3,(B),(B),.,(B),(B),,,,,
Hispanic,22,18,(B),(B),8,(B),(B),4,(B),(B),,,,,
White,"1,277","1,271",99.5,0.27,960,75.2,1.75,520,40.7,1.99,,,,,
Black,670,670,(B),(B),478,71.3,3.06,271,40.4,3.32,,,,,
MISSOURI Total,"3,967","3,879",97.8,0.50,"2,848",71.8,1.51,"1,816",45.8,1.68,,,,,
Male,"1,857","1,805",97.2,0.81,"1,302",70.1,2.25,838,45.1,2.45,,,,,
Female,"2,110","2,073",98.3,0.60,"1,547",73.3,2.04,978,46.4,2.30,,,,,
N-H White,"3,512","3,481",99.1,0.34,"2,566",73.1,1.59,"1,666",47.4,1.78,,,,,
N-H Black,335,335,(B),(B),232,69.2,6.47,117,34.9,6.68,,,,,
N-H API,50,30,(B),(B),26,(B),(B),15,(B),(B),,,,,
Hispanic,66,29,(B),(B),20,(B),(B),14,(B),(B),,,,,
White,"3,575","3,510",98.2,0.47,"2,586",72.3,1.58,"1,680",47.0,1.77,,,,,
Black,339,335,98.9,1.42,232,68.5,6.47,117,34.5,6.62,,,,,
MONTANA Total,654,647,99.0,0.31,472,72.3,1.42,349,53.3,1.58,,,,,
Male,322,318,98.8,0.49,227,70.3,2.06,168,52.2,2.25,,,,,
Female,331,329,99.2,0.38,246,74.1,1.95,180,54.4,2.21,,,,,
N-H White,596,592,99.3,0.28,443,74.2,1.45,331,55.5,1.65,,,,,
N-H Black,1,1,(B),(B),1,(B),(B),.,(B),(B),,,,,
N-H API,4,2,(B),(B),2,(B),(B),1,(B),(B),,,,,
Hispanic,8,7,(B),(B),5,(B),(B),2,(B),(B),,,,,
White,604,599,99.2,0.29,448,74.1,1.44,333,55.2,1.64,,,,,
Black,1,1,(B),(B),1,(B),(B),.,(B),(B),,,,,
NEBRASKA Total,"1,193","1,153",96.6,0.62,790,66.2,1.61,540,45.3,1.69,,,,,
Male,575,553,96.2,0.93,365,63.6,2.35,248,43.2,2.42,,,,,
Female,619,600,96.9,0.81,424,68.6,2.19,292,47.2,2.35,,,,,
N-H White,"1,094","1,087",99.3,0.29,758,69.3,1.64,522,47.7,1.77,,,,,
N-H Black,30,30,(B),(B),18,(B),(B),13,(B),(B),,,,,
N-H API,22,13,(B),(B),2,(B),(B),1,(B),(B),,,,,
Hispanic,47,23,(B),(B),11,(B),(B),3,(B),(B),,,,,
White,"1,141","1,109",97.2,0.57,769,67.4,1.63,526,46.1,1.73,,,,,
Black,30,30,(B),(B),18,(B),(B),13,(B),(B),,,,,
NEVADA Total,"1,298","1,160",89.4,1.03,606,46.7,1.66,429,33.1,1.57,,,,,
Male,654,577,88.3,1.51,291,44.5,2.33,203,31.1,2.17,,,,,
Female,644,582,90.4,1.39,315,49.0,2.36,226,35.1,2.26,,,,,
N-H White,932,914,98.0,0.55,520,55.8,1.95,382,40.9,1.93,,,,,
N-H Black,88,84,(B),(B),40,(B),(B),25,(B),(B),,,,,
N-H API,65,42,(B),(B),14,(B),(B),6,(B),(B),,,,,
Hispanic,201,109,54.0,6.62,28,14.0,4.61,14,7.1,3.42,,,,,
White,"1,128","1,020",90.4,1.05,547,48.5,1.79,396,35.1,1.71,,,,,
Black,88,84,(B),(B),40,(B),(B),25,(B),(B),,,,,
NEW HAMPSHIRE Total,874,853,97.6,0.57,563,64.4,1.81,357,40.9,1.85,,,,,
Male,422,409,97.0,0.93,274,64.9,2.59,170,40.3,2.66,,,,,
Female,452,444,98.2,0.69,290,64.0,2.52,187,41.4,2.58,,,,,
N-H White,837,828,99.0,0.39,550,65.7,1.83,349,41.7,1.90,,,,,
N-H Black,6,4,(B),(B),1,(B),(B),1,(B),(B),,,,,
N-H API,11,6,(B),(B),5,(B),(B),2,(B),(B),,,,,
Hispanic,15,10,(B),(B),3,(B),(B),2,(B),(B),,,,,
White,852,839,98.4,0.47,553,64.9,1.82,351,41.2,1.88,,,,,
Black,6,4,(B),(B),1,(B),(B),1,(B),(B),,,,,
NEW JERSEY Total,"6,059","5,455",90.0,0.63,"3,638",60.1,1.03,"2,152",35.5,1.01,,,,,
Male,"2,877","2,588",900.,0.92,"1,655",57.5,1.51,"1,038",36.1,1.47,,,,,
Female,"3,182","2,867",90.1,0.87,"1,984",62.3,1.41,"1,114",35.0,1.39,,,,,
N-H White,"4,362","4,168",95.6,0.51,"2,852",65.4,1.18,"1,654",37.9,1.20,,,,,
N-H Black,831,756,91.0,1.97,456,54.9,3.42,315,37.9,3.34,,,,,
N-H API,230,115,50.1,6.83,64,27.6,6.10,35,15.1,4.89,,,,,
Hispanic,630,413,65.5,4.88,265,42.1,5.06,148,23.4,4.34,,,,,
White,"4,932","4,538",92.0,0.63,"3,091",62.7,1.13,"1,785",36.2,1.12,,,,,
Black,886,797,89.9,2.01,480,54.1,3.32,328,37.0,3.22,,,,,
NEW MEXICO Total,"1,253","1,172",93.5,0.8.,756,60.4,1.58,604,48.2,1.62,,,,,
Male,615,573,93.2,1.16,359,58.4,2.27,289,46.9,2.30,,,,,
Female,638,599,93.9,1.09,397,62.2,2.20,315,49.4,2.27,,,,,
N-H White,587,581,98.9,0.49,400,68.2,2.20,325,55.3,2.35,,,,,
N-H Black,15,15,(B),(B),7,(B),(B),3,(B),(B),,,,,
N-H API,16,10,(B),(B),5,(B),(B),4,(B),(B),,,,,
Hispanic,535,467,87.3,2.59,276,51.5,3.89,210,39.3,3.80,,,,,
White,"1,099","1,027",93.4,0.85,662,60.3,1.69,523,47.6,1.72,,,,,
Black,16,16,(B),(B),9,(B),(B),3,(B),(B),,,,,
NEW YORK Total,"13,440","11,545",85.9,0.51,"7,656",57.0,0.73,"5,568",41.4,0.73,,,,,
Male,"6,487","5,506",84.9,0.76,"3,581",55.2,1.05,"2,635",40.6,1.04,,,,,
Female,"6,953","6,039",86.9,0.69,"4,075",58.6,1.01,"2,934",42.2,1.01,,,,,
N-H White,"8,912","8,459",94.9,0.40,"5,919",66.4,0.85,"4,370",49.0,0.90,,,,,
N-H Black,"1,811","1,483",81.9,1.87,885,48.9,2.43,630,34.8,2.31,,,,,
N-H API,692,377,54.6,4.09,134,19.3,3.24,87,12.5,2.71,,,,,
Hispanic,"1,984","1,191",60.0,2.95,699,35.2,2.88,465,23.4,2.55,,,,,
White,"10,598","9,464",89.3,0.51,"6,498",61.3,0.81,"4,745",44.8,0.82,,,,,
Black,"2,082","1,665",79.9,1.81,"1,006",48.3,2.26,720,34.6,2.15,,,,,
NORTH CAROLINA Total,"5,536","5,392",97.4,0.37,"3,468",62.7,1.14,"2,180",39.4,1.15,,,,,
Male,"2,664","2,600",97.6,0.52,"1,620",60.8,1.66,"1,044",39.2,1.66,,,,,
Female,"2,872","2,792",97.2,0.54,"1,848",64.3,1.57,"1,136",39.6,1.60,,,,,
N-H White,"3,981","3,944",99.1,0.27,"2,664",66.9,1.31,"1,651",41.5,1.37,,,,,
N-H Black,"1,276","1,273",99.8,0.27,732,57.4,2.94,487,38.2,2.89,,,,,
