LOUISIANA-Total,3314,2425,1618
Male,1555,1111,766
Female,1759,1314,852
White alone,2218,1624,1101
White non-Hispanic alone,2129,1597,1087
Black alone,981,743,480
Asian alone,36,3,3
Hispanic (of any race),104,42,16
White alone or in combination,2275,1667,1123
Black alone or in combination,1015,773,494
Asian alone or in combination,40,3,3
MAINE-Total,1034,779,604
Male,499,363,284
Female,535,416,320
White alone,1004,765,596
White non-Hispanic alone,1000,763,594
Black alone,13,5,2
Asian alone,6,2,2
Hispanic (of any race),6,4,2
White alone or in combination,1011,771,598
Black alone or in combination,18,8,4
Asian alone or in combination,7,3,2
MARYLAND-Total,4279,2509,1802
Male,2039,1156,823
Female,2240,1353,979
White alone,2760,1711,1233
White non-Hispanic alone,2474,1638,1189
Black alone,1217,685,505
Asian alone,240,71,41
Hispanic (of any race),337,90,55
White alone or in combination,2792,1736,1242
Black alone or in combination,1237,700,514
Asian alone or in combination,248,79,44
MASSACHUSETTS-Total,5097,3230,2452
Male,2436,1486,1168
Female,2661,1743,1284
White alone,4516,3037,2304
White non-Hispanic alone,4114,2910,2258
Black alone,319,109,93
Asian alone,216,63,44
Hispanic (of any race),430,134,48
White alone or in combination,4547,3051,2314
Black alone or in combination,343,121,99
Asian alone or in combination,220,63,44
MICHIGAN-Total,7513,5127,3394
Male,3606,2393,1606
Female,3907,2734,1787
White alone,6141,4376,2873
White non-Hispanic alone,5929,4281,2817
Black alone,997,598,407
Asian alone,244,49,34
Hispanic (of any race),229,107,68
White alone or in combination,6227,4438,2919
Black alone or in combination,1047,646,450
Asian alone or in combination,248,49,34
MINNESOTA-Total,3982,2756,2104
Male,1965,1341,1016
Female,2017,1415,1088
White alone,3680,2639,2024
White non-Hispanic alone,3556,2598,1997
Black alone,140,62,45
Asian alone,84,23,14
Hispanic (of any race),138,43,30
White alone or in combination,3725,2664,2040
Black alone or in combination,160,68,46
Asian alone or in combination,85,24,15
MISSISSIPPI-Total,2113,1532,983
Male,1000,674,425
Female,1113,857,558
White alone,1324,970,623
White non-Hispanic alone,1307,965,620
Black alone,721,534,351
Asian alone,29,12,2
Hispanic (of any race),17,5,3
White alone or in combination,1340,984,630
Black alone or in combination,735,541,354
Asian alone or in combination,31,12,2
MISSOURI-Total,4506,3013,2004
Male,2164,1414,941
Female,2342,1598,1063
White alone,3900,2622,1755
White non-Hispanic alone,3764,2585,1731
Black alone,484,338,224
Asian alone,35,3,
Hispanic (of any race),140,37,24
White alone or in combination,3958,2658,1773
Black alone or in combination,500,353,230
Asian alone or in combination,39,7,4
MONTANA-Total,753,491,386
Male,371,250,196
Female,381,241,191
White alone,678,452,359
White non-Hispanic alone,659,441,351
Black alone,5,2,2
Asian alone,5,2,
Hispanic (of any race),22,13,9
White alone or in combination,696,463,367
Black alone or in combination,5,2,2
Asian alone or in combination,5,2,
NEBRASKA-Total,1323,804,511
Male,643,372,244
Female,680,432,268
White alone,1216,769,493
White non-Hispanic alone,1138,752,487
Black alone,45,13,5
Asian alone,32,9,3
Hispanic (of any race),101,25,12
White alone or in combination,1223,775,498
Black alone or in combination,47,15,7
Asian alone or in combination,34,10,4
NEVADA-Total,1957,996,731
Male,989,477,360
Female,968,519,371
White alone,1534,819,608
White non-Hispanic alone,1169,726,546
Black alone,148,69,48
Asian alone,142,44,27
Hispanic (of any race),399,103,68
White alone or in combination,1580,842,623
Black alone or in combination,163,79,50
Asian alone or in combination,151,50,31
NEW HAMPSHIRE-Total,1024,666,470
Male,498,327,234
Female,526,339,236
White alone,976,647,456
White non-Hispanic alone,964,642,454
Black alone,12,5,4
Asian alone,19,6,3
Hispanic (of any race),12,5,3
White alone or in combination,988,651,460
Black alone or in combination,16,6,5
Asian alone or in combination,19,6,3
NEW JERSEY-Total,6581,3656,2383
Male,3169,1712,1090
Female,3412,1944,1293
White alone,5115,2921,1890
White non-Hispanic alone,4109,2668,1729
Black alone,889,555,390
Asian alone,514,175,101
Hispanic (of any race),1136,284,177
White alone or in combination,5161,2923,1890
Black alone or in combination,929,555,390
Asian alone or in combination,521,177,101
NEW MEXICO-Total,1489,746,579
Male,725,336,271
Female,764,409,308
White alone,1215,638,499
White non-Hispanic alone,626,396,319
Black alone,44,4,
Asian alone,52,14,12
Hispanic (of any race),610,249,183
White alone or in combination,1229,648,506
Black alone or in combination,46,4,
Asian alone or in combination,55,17,12
NEW YORK-Total,14974,8395,5746
Male,7136,3883,2699
Female,7837,4512,3046
White alone,11336,6797,4721
White non-Hispanic alone,9333,6102,4290
Black alone,2478,1306,892
Asian alone,1045,239,99
Hispanic (of any race),2389,830,516
White alone or in combination,11425,6827,4746
Black alone or in combination,2500,1316,899
Asian alone or in combination,1068,248,107
NORTH CAROLINA-Total,6998,4455,3009
Male,3320,2045,1378
Female,3678,2410,1631
White alone,5164,3344,2279
White non-Hispanic alone,4731,3254,2207
Black alone,1438,871,582
Asian alone,124,70,31
Hispanic (of any race),469,105,80
White alone or in combination,5225,3382,2287
Black alone or in combination,1484,910,607
Asian alone or in combination,139,77,34
NORTH DAKOTA-Total,488,361,266
Male,243,177,132
Female,245,184,134
White alone,433,324,240
White non-Hispanic alone,430,322,239
Black alone,4,2,
Asian alone,7,,
Hispanic (of any race),3,2,
White alone or in combination,439,327,241
Black alone or in combination,6,3,
Asian alone or in combination,7,,
OHIO-Total,8642,5601,3824
Male,4135,2664,1866
Female,4506,2936,1958
White alone,7474,4910,3382
White non-Hispanic alone,7316,4847,3344
Black alone,930,606,389
Asian alone,110,27,21
Hispanic (of any race),187,64,38
White alone or in combination,7575,4953,3408
Black alone or in combination,964,623,400
Asian alone or in combination,117,32,27
OKLAHOMA-Total,2695,1603,1061
Male,1295,756,489
Female,1400,847,572
White alone,2015,1234,833
White non-Hispanic alone,1892,1200,818
Black alone,195,111,71
Asian alone,68,24,13
Hispanic (of any race),159,38,19
White alone or in combination,2236,1376,924
Black alone or in combination,216,120,72
Asian alone or in combination,76,29,16
OREGON-Total,2974,2005,1594
Male,1455,962,781
Female,1520,1043,813
White alone,2725,1861,1493
White non-Hispanic alone,2544,1818,1462
Black alone,63,39,25
Asian alone,93,40,31
Hispanic (of any race),189,50,35
White alone or in combination,2775,1896,1522
Black alone or in combination,73,42,25
Asian alone or in combination,109,51,41
PENNSYLVANIA-Total,9631,6031,4104
Male,4581,2812,1956
Female,5050,3220,2148
White alone,8435,5426,3674
White non-Hispanic alone,8104,5281,3599
Black alone,907,494,368
Asian alone,173,60,30
Hispanic (of any race),390,155,79
White alone or in combination,8514,5462,3697
Black alone or in combination,952,523,390
Asian alone or in combination,189,63,32
RHODE ISLAND-Total,812,510,348
Male,387,238,168
Female,425,272,180
White alone,720,477,329
White non-Hispanic alone,649,460,320
Black alone,45,18,12
Asian alone,29,6,3
Hispanic (of any race),84,20,10
White alone or in combination,725,482,332
Black alone or in combination,49,21,13
Asian alone or in combination,29,6,3
SOUTH CAROLINA-Total,3453,2304,1700
Male,1635,1054,777
Female,1818,1250,922
White alone,2455,1646,1190
White non-Hispanic alone,2355,1634,1188
Black alone,898,616,482
Asian alone,49,15,7
Hispanic (of any race),112,15,4
White alone or in combination,2498,1668,1204
Black alone or in combination,918,631,495
Asian alone or in combination,49,15,7
SOUTH DAKOTA-Total,602,406,322
Male,297,194,151
Female,305,212,171
White alone,554,380,304
White non-Hispanic alone,539,378,301
Black alone,7,2,1
Asian alone,3,1,
Hispanic (of any race),19,6,3
White alone or in combination,557,382,305
Black alone or in combination,7,2,1
Asian alone or in combination,3,1,
TENNESSEE-Total,4745,2854,1714
Male,2278,1317,789
Female,2466,1537,925
White alone,3869,2365,1433
White non-Hispanic alone,3722,2332,1419
Black alone,716,415,242
Asian alone,77,13,6
Hispanic (of any race),160,37,19
White alone or in combination,3935,2413,1460
Black alone or in combination,722,415,242
Asian alone or in combination,77,13,6
TEXAS-Total,17847,9493,5600
Male,8742,4438,2631
Female,9105,5054,2969
White alone,14741,7858,4631
White non-Hispanic alone,8452,5571,3645
Black alone,2060,1242,770
Asian alone,798,262,126
Hispanic (of any race),6403,2334,1012
White alone or in combination,14914,7966,4697
Black alone or in combination,2114,1252,773
Asian alone or in combination,802,267,131
UTAH-Total,1929,1095,695
Male,958,514,338
Female,971,581,357
White alone,1811,1064,676
White non-Hispanic alone,1667,1045,664
Black alone,19,6,2
Asian alone,44,15,11
Hispanic (of any race),151,21,13
White alone or in combination,1818,1071,680
Black alone or in combination,23,9,5
Asian alone or in combination,44,15,11
VERMONT-Total,490,356,265
Male,238,169,126
Female,252,187,138
White alone,473,346,259
White non-Hispanic alone,469,345,257
Black alone,4,2,1
Asian alone,4,1,
Hispanic (of any race),4,1,1
White alone or in combination,481,352,263
Black alone or in combination,4,3,1
Asian alone or in combination,6,2,
VIRGINIA-Total,5873,3546,2257
Male,2812,1637,1047
Female,3061,1909,1210
White alone,4266,2775,1780
White non-Hispanic alone,3955,2693,1738
Black alone,1104,536,370
Asian alone,363,156,61
Hispanic (of any race),369,88,48
White alone or in combination,4348,2824,1811
Black alone or in combination,1167,575,392
Asian alone or in combination,392,180,75
WASHINGTON-Total,5095,3367,2692
Male,2501,1604,1289
Female,2595,1763,1403
White alone,4366,3028,2479
White non-Hispanic alone,3942,2921,2405
Black alone,157,60,47
Asian alone,375,141,92
Hispanic (of any race),461,110,77
White alone or in combination,4506,3128,2527
Black alone or in combination,190,85,49
Asian alone or in combination,430,189,127
WEST VIRGINIA-Total,1420,883,581
Male,686,406,266
Female,734,477,315
White alone,1360,857,561
White non-Hispanic alone,1355,856,559
Black alone,48,22,18
Asian alone,4,,
Hispanic (of any race),5,2,2
White alone or in combination,1365,860,562
Black alone or in combination,50,22,18
Asian alone or in combination,4,,
WISCONSIN-Total,4291,2908,2258
Male,2105,1360,1059
Female,2185,1549,1199
White alone,3956,2723,2113
White non-Hispanic alone,3810,2688,2091
Black alone,204,113,89
Asian alone,68,29,23
Hispanic (of any race),181,53,38
White alone or in combination,3979,2739,2122
Black alone or in combination,206,116,89
Asian alone or in combination,70,31,25
WYOMING-Total,411,239,190
Male,210,118,94
Female,202,121,96
White alone,389,230,182
White non-Hispanic alone,363,222,177
Black alone,6,2,2
Asian alone,3,,
Hispanic (of any race),31,9,6
White alone or in combination,400,236,187
Black alone or in combination,8,3,3
Asian alone or in combination,4,1,
1This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,
NOTES:,,,
"Federal surveys now give respondents the option of reporting more than one race.  Therefore, two basic ways of defining a race group are possible.A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept).",,,
A dash '-' represents zero or rounds to zero.,,,
"The symbol (B) means that the base is less than 75,000 and therefore too small to show the derived measure.",,,
"",,,
"Source: U.S. Census Bureau, Current Population Survey, November 2010.",,,
