index,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994,index,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996,index,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998,index,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000,index,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002,index,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004,index,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006,index,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008,index,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010,index,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012,index,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014,index,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016,index,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018,index,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
98,FEMALE,1044,783,579,98,FEMALE,1091,813,668,98,FEMALE,1085,825,574,98,FEMALE,1061,790,703,98,FEMALE,1129,810,560,98,FEMALE,1139,886,814,98,FEMALE,1148,873,635,98,FEMALE,1147,865,801,98,FEMALE,1164,818,599,98,FEMALE,1186,906,816,98,FEMALE,1182,829,634,98,FEMALE,1221,877,781,98,FEMALE,1201,825,675,98,FEMALE,1194,888,833
99,WHITE,1965,1441,1061,99,WHITE,1999,1497,1265,99,HISPANIC ORIGIN,24,9,0,99,WHITE,2009,1482,1320,99,WHITE,2061,1452,1028,99,WHITE,2120,1620,1473,99,WHITE,2118,1620,1149,99,WHITE,2084,1550,1422,99,WHITE,2161,1494,1106,99,WHITE,2173,1673,1482,99,WHITE,2171,1515,1154,99,WHITE,2201,1587,1393,99,WHITE,2192,1580,1270,99,WHITE,2160,1630,1521
100,BLACK,41,23,15,100,BLACK,45,23,20,100,WHITE,2031,1520,1068,100,BLACK,81,42,34,100,BLACK,44,30,16,100,BLACK,37,24,23,100,BLACK,49,20,14,100,BLACK,71,42,42,100,BLACK,57,29,17,100,BLACK,54,35,33,100,BLACK,69,31,20,100,BLACK,73,39,34,100,BLACK,89,47,41,100,BLACK,95,55,40
101,HISPANIC ORIGIN,17,13,7,101,HISPANIC ORIGIN,24,12,6,101,BLACK,21,14,4,101,HISPANIC ORIGIN,89,22,19,101,HISPANIC ORIGIN,81,16,12,101,HISPANIC ORIGIN,69,13,12,101,HISPANIC ORIGIN,70,16,4,101,HISPANIC ORIGIN,101,21,20,101,HISPANIC ORIGIN,96,15,10,101,HISPANIC ORIGIN,120,32,30,101,HISPANIC ORIGIN,81,21,11,101,HISPANIC ORIGIN,97,29,23,101,HISPANIC ORIGIN,206,85,69,101,HISPANIC ORIGIN,108,42,40
102,KANSAS TOTAL,1798,1180,912,102,KANSAS TOTAL,1823,1257,1129,102,KANSAS TOTAL,1868,1191,749,102,KANSAS TOTAL,1908,1293,1148,102,KANSAS TOTAL,2038,1298,944,102,KANSAS TOTAL,1990,1338,1188,102,KANSAS TOTAL,2035,1274,901,102,KANSAS TOTAL,2037,1343,1219,102,KANSAS TOTAL,2059,1349,931,102,KANSAS TOTAL,2120,1467,1249,102,KANSAS TOTAL,2125,1353,962,102,KANSAS TOTAL,2142,1438,1243,102,KANSAS TOTAL,2149,1449,1152,102,KANSAS TOTAL,2157,1398,1297
103,MALE,870,556,447,103,MALE,863,591,534,103,MALE,898,562,360,103,MALE,927,600,528,103,MALE,993,608,448,103,MALE,970,633,554,103,MALE,995,604,418,103,MALE,992,617,552,103,MALE,1022,658,457,103,MALE,1029,671,567,103,MALE,1037,635,453,103,MALE,1048,671,570,103,MALE,1049,692,554,103,MALE,1057,667,621
104,FEMALE,929,624,465,104,FEMALE,959,666,596,104,FEMALE,969,629,389,104,FEMALE,981,693,620,104,FEMALE,1045,690,496,104,FEMALE,1019,704,633,104,FEMALE,1040,670,483,104,FEMALE,1045,726,667,104,FEMALE,1038,691,474,104,FEMALE,1091,796,682,104,FEMALE,1088,718,509,104,FEMALE,1094,767,673,104,FEMALE,1100,757,598,104,FEMALE,1101,731,676
105,WHITE,1644,1119,879,105,WHITE,1655,1163,1051,105,HISPANIC ORIGIN,71,19,8,105,WHITE,1757,1206,1073,105,WHITE,1821,1205,879,105,WHITE,1768,1224,1101,105,WHITE,1833,1194,855,105,WHITE,1762,1213,1105,105,WHITE,1831,1245,863,105,WHITE,1851,1342,1148,105,WHITE,1853,1220,873,105,WHITE,1883,1307,1149,105,WHITE,1880,1311,1028,105,WHITE,1867,1263,1181
106,BLACK,103,44,25,106,BLACK,107,63,53,106,WHITE,1708,1150,733,106,BLACK,103,72,63,106,BLACK,139,62,46,106,BLACK,99,64,53,106,BLACK,99,55,36,106,BLACK,120,68,62,106,BLACK,113,52,34,106,BLACK,105,64,54,106,BLACK,129,73,53,106,BLACK,121,75,54,106,BLACK,129,65,58,106,BLACK,106,69,59
107,HISPANIC ORIGIN,46,27,19,107,HISPANIC ORIGIN,35,9,9,107,BLACK,91,34,12,107,HISPANIC ORIGIN,50,8,7,107,HISPANIC ORIGIN,167,45,25,107,HISPANIC ORIGIN,132,30,28,107,HISPANIC ORIGIN,119,32,19,107,HISPANIC ORIGIN,136,43,39,107,HISPANIC ORIGIN,125,45,20,107,HISPANIC ORIGIN,197,54,33,107,HISPANIC ORIGIN,216,70,44,107,HISPANIC ORIGIN,217,76,68,107,HISPANIC ORIGIN,231,71,55,107,HISPANIC ORIGIN,317,108,96
108,KENTUCKY TOTAL,2807,1756,972,108,KENTUCKY TOTAL,2906,2017,1535,108,KENTUCKY TOTAL,2956,1921,1311,108,KENTUCKY TOTAL,2996,2087,1645,108,KENTUCKY TOTAL,3012,2017,1367,108,KENTUCKY TOTAL,3042,2231,1930,108,KENTUCKY TOTAL,3142,2240,1508,108,KENTUCKY TOTAL,3179,2259,1952,108,KENTUCKY TOTAL,3250,2113,1479,108,KENTUCKY TOTAL,3291,2303,1895,108,KENTUCKY TOTAL,3323,2298,1525,108,KENTUCKY TOTAL,3348,2253,1850,108,KENTUCKY TOTAL,3370,2389,1746,108,KENTUCKY TOTAL,3384,2450,2210
109,MALE,1328,841,515,109,MALE,1339,910,686,109,MALE,1445,937,652,109,MALE,1398,963,760,109,MALE,1448,968,693,109,MALE,1454,1039,884,109,MALE,1520,1050,743,109,MALE,1525,1044,892,109,MALE,1552,956,704,109,MALE,1581,1041,843,109,MALE,1597,1091,754,109,MALE,1614,1035,861,109,MALE,1627,1092,789,109,MALE,1616,1159,1057
110,FEMALE,1478,916,457,110,FEMALE,1567,1108,848,110,FEMALE,1511,984,659,110,FEMALE,1597,1125,886,110,FEMALE,1564,1049,674,110,FEMALE,1588,1192,1046,110,FEMALE,1623,1190,765,110,FEMALE,1653,1215,1060,110,FEMALE,1698,1157,775,110,FEMALE,1710,1262,1052,110,FEMALE,1725,1207,770,110,FEMALE,1734,1218,989,110,FEMALE,1743,1297,958,110,FEMALE,1768,1291,1153
111,WHITE,2596,1648,916,111,WHITE,2647,1862,1419,111,HISPANIC ORIGIN,21,5,0,111,WHITE,2738,1930,1515,111,WHITE,2751,1889,1285,111,WHITE,2775,2041,1765,111,WHITE,2878,2087,1413,111,WHITE,2886,2074,1794,111,WHITE,2995,1974,1383,111,WHITE,2966,2091,1733,111,WHITE,2943,2059,1367,111,WHITE,3014,2038,1669,111,WHITE,3014,2194,1587,111,WHITE,2994,2194,1997
112,BLACK,174,91,43,112,BLACK,238,147,107,112,WHITE,2757,1831,1255,112,BLACK,230,141,121,112,BLACK,216,116,76,112,BLACK,204,158,140,112,BLACK,196,127,86,112,BLACK,211,136,128,112,BLACK,203,118,76,112,BLACK,223,162,125,112,BLACK,271,184,117,112,BLACK,250,187,159,112,BLACK,248,164,131,112,BLACK,259,167,140
113,HISPANIC ORIGIN,16,9,6,113,HISPANIC ORIGIN,8,3,3,113,BLACK,175,78,51,113,HISPANIC ORIGIN,71,19,17,113,HISPANIC ORIGIN,20,7,5,113,HISPANIC ORIGIN,44,18,16,113,HISPANIC ORIGIN,45,14,11,113,HISPANIC ORIGIN,52,13,13,113,HISPANIC ORIGIN,109,8,2,113,HISPANIC ORIGIN,82,20,13,113,HISPANIC ORIGIN,113,34,23,113,HISPANIC ORIGIN,138,44,38,113,HISPANIC ORIGIN,96,15,12,113,HISPANIC ORIGIN,163,30,26
114,LOUISIANA TOTAL,3013,2126,1031,114,LOUISIANA TOTAL,3098,2275,1915,114,LOUISIANA TOTAL,3114,2261,1193,114,LOUISIANA TOTAL,3143,2369,2030,114,LOUISIANA TOTAL,3092,2276,1527,114,LOUISIANA TOTAL,3277,2413,2067,114,LOUISIANA TOTAL,3071,2179,1201,114,LOUISIANA TOTAL,3161,2393,2149,114,LOUISIANA TOTAL,3314,2425,1618,114,LOUISIANA TOTAL,3321,2498,2148,114,LOUISIANA TOTAL,3450,2398,1677,114,LOUISIANA TOTAL,3463,2446,2067,114,LOUISIANA TOTAL,3458,2263,1656,114,LOUISIANA TOTAL,3438,2286,2041
115,MALE,1433,1002,481,115,MALE,1436,1041,866,115,MALE,1508,1097,592,115,MALE,1434,1049,903,115,MALE,1397,989,668,115,MALE,1528,1132,963,115,MALE,1437,982,551,115,MALE,1478,1101,984,115,MALE,1555,1111,766,115,MALE,1554,1102,931,115,MALE,1645,1108,768,115,MALE,1650,1119,925,115,MALE,1635,1032,774,115,MALE,1618,1073,959
116,FEMALE,1580,1124,551,116,FEMALE,1662,1234,1049,116,FEMALE,1606,1165,601,116,FEMALE,1709,1320,1127,116,FEMALE,1695,1287,858,116,FEMALE,1749,1281,1104,116,FEMALE,1634,1198,650,116,FEMALE,1683,1292,1165,116,FEMALE,1759,1314,852,116,FEMALE,1766,1396,1217,116,FEMALE,1805,1290,908,116,FEMALE,1813,1327,1142,116,FEMALE,1823,1231,882,116,FEMALE,1820,1214,1082
117,WHITE,2091,1521,745,117,WHITE,2165,1613,1355,117,HISPANIC ORIGIN,66,41,14,117,WHITE,2194,1700,1456,117,WHITE,2118,1571,1080,117,WHITE,2260,1697,1446,117,WHITE,2115,1549,865,117,WHITE,2119,1647,1490,117,WHITE,2218,1624,1101,117,WHITE,2242,1681,1421,117,WHITE,2250,1596,1094,117,WHITE,2251,1631,1368,117,WHITE,2212,1501,1075,117,WHITE,2212,1486,1362
118,BLACK,908,597,281,118,BLACK,908,653,553,118,WHITE,2066,1554,738,118,BLACK,892,656,564,118,BLACK,924,680,434,118,BLACK,976,693,606,118,BLACK,884,592,319,118,BLACK,943,712,625,118,BLACK,981,743,480,118,BLACK,996,768,692,118,BLACK,1042,729,533,118,BLACK,1062,755,646,118,BLACK,1076,688,531,118,BLACK,1068,720,607
119,HISPANIC ORIGIN,61,32,15,119,HISPANIC ORIGIN,60,24,13,119,BLACK,980,681,450,119,HISPANIC ORIGIN,61,38,22,119,HISPANIC ORIGIN,135,63,38,119,HISPANIC ORIGIN,68,19,16,119,HISPANIC ORIGIN,92,33,31,119,HISPANIC ORIGIN,100,39,32,119,HISPANIC ORIGIN,104,42,16,119,HISPANIC ORIGIN,125,57,48,119,HISPANIC ORIGIN,165,57,31,119,HISPANIC ORIGIN,174,99,82,119,HISPANIC ORIGIN,189,56,35,119,HISPANIC ORIGIN,210,84,72
120,MAINE TOTAL,909,743,530,120,MAINE TOTAL,926,755,626,120,MAINE TOTAL,938,704,450,120,MAINE TOTAL,979,786,677,120,MAINE TOTAL,1042,831,594,120,MAINE TOTAL,1022,824,736,120,MAINE TOTAL,1034,811,595,120,MAINE TOTAL,1020,801,716,120,MAINE TOTAL,1034,779,604,120,MAINE TOTAL,1042,787,700,120,MAINE TOTAL,1061,799,642,120,MAINE TOTAL,1058,830,754,120,MAINE TOTAL,1074,828,693,120,MAINE TOTAL,1087,832,766
121,MALE,435,354,258,121,MALE,457,364,305,121,MALE,458,333,212,121,MALE,465,374,315,121,MALE,504,391,283,121,MALE,493,390,346,121,MALE,498,393,286,121,MALE,492,380,336,121,MALE,499,363,284,121,MALE,509,383,333,121,MALE,512,373,302,121,MALE,510,388,347,121,MALE,527,397,329,121,MALE,523,383,351
122,FEMALE,474,389,271,122,FEMALE,469,391,321,122,FEMALE,480,371,238,122,FEMALE,514,412,362,122,FEMALE,538,440,311,122,FEMALE,529,434,390,122,FEMALE,535,418,309,122,FEMALE,529,421,380,122,FEMALE,535,416,320,122,FEMALE,533,404,367,122,FEMALE,549,426,340,122,FEMALE,548,442,408,122,FEMALE,546,431,364,122,FEMALE,564,449,415
123,WHITE,895,737,527,123,WHITE,918,751,623,123,HISPANIC ORIGIN,3,3,2,123,WHITE,966,779,670,123,WHITE,1026,822,589,123,WHITE,990,799,714,123,WHITE,1010,794,585,123,WHITE,981,778,698,123,WHITE,1004,765,596,123,WHITE,1001,766,682,123,WHITE,1009,771,616,123,WHITE,1001,793,720,123,WHITE,1011,796,669,123,WHITE,1036,803,739
124,BLACK,1,0,0,124,BLACK,1,1,1,124,WHITE,922,695,443,124,BLACK,6,4,4,124,BLACK,7,4,3,124,BLACK,8,6,5,124,BLACK,5,2,2,124,BLACK,10,5,4,124,BLACK,13,5,2,124,BLACK,8,4,4,124,BLACK,9,5,3,124,BLACK,13,9,7,124,BLACK,17,5,3,124,BLACK,13,4,4
125,HISPANIC ORIGIN,4,2,1,125,HISPANIC ORIGIN,2,2,1,125,BLACK,4,1,0,125,HISPANIC ORIGIN,4,4,3,125,HISPANIC ORIGIN,5,3,3,125,HISPANIC ORIGIN,9,7,7,125,HISPANIC ORIGIN,3,1,,125,HISPANIC ORIGIN,17,9,8,125,HISPANIC ORIGIN,6,4,2,125,HISPANIC ORIGIN,10,4,4,125,HISPANIC ORIGIN,10,4,3,125,HISPANIC ORIGIN,20,7,7,125,HISPANIC ORIGIN,11,8,3,125,HISPANIC ORIGIN,11,7,7
126,MARYLAND TOTAL,3726,2369,1749,126,MARYLAND TOTAL,3766,2481,2048,126,MARYLAND TOTAL,3861,2331,1825,126,MARYLAND TOTAL,3812,2499,2178,126,MARYLAND TOTAL,3922,2377,1826,126,MARYLAND TOTAL,4043,2676,2413,126,MARYLAND TOTAL,4175,2720,2145,126,MARYLAND TOTAL,4218,2828,2611,126,MARYLAND TOTAL,4279,2509,1802,126,MARYLAND TOTAL,4449,2888,2609,126,MARYLAND TOTAL,4542,2995,2028,126,MARYLAND TOTAL,4623,3114,2737,126,MARYLAND TOTAL,4666,3095,2320,126,MARYLAND TOTAL,4606,3383,3166
127,MALE,1715,1063,811,127,MALE,1821,1183,974,127,MALE,1842,1100,874,127,MALE,1838,1129,970,127,MALE,1805,1043,799,127,MALE,1906,1221,1112,127,MALE,1965,1232,982,127,MALE,1984,1254,1153,127,MALE,2039,1156,823,127,MALE,2101,1336,1189,127,MALE,2135,1378,938,127,MALE,2203,1454,1253,127,MALE,2217,1457,1107,127,MALE,2199,1517,1430
128,FEMALE,2011,1305,938,128,FEMALE,1944,1298,1075,128,FEMALE,2019,1231,950,128,FEMALE,1974,1371,1208,128,FEMALE,2117,1335,1028,128,FEMALE,2137,1454,1301,128,FEMALE,2210,1488,1163,128,FEMALE,2234,1574,1458,128,FEMALE,2240,1353,979,128,FEMALE,2348,1552,1421,128,FEMALE,2407,1617,1090,128,FEMALE,2420,1659,1484,128,FEMALE,2449,1639,1213,128,FEMALE,2407,1865,1737
129,WHITE,2659,1720,1324,129,WHITE,2758,1814,1508,129,HISPANIC ORIGIN,131,25,21,129,WHITE,2549,1673,1444,129,WHITE,2617,1702,1336,129,WHITE,2737,1913,1733,129,WHITE,2795,1905,1513,129,WHITE,2762,1876,1725,129,WHITE,2760,1711,1233,129,WHITE,2837,1913,1711,129,WHITE,2752,1941,1345,129,WHITE,2784,1975,1727,129,WHITE,2800,2021,1536,129,WHITE,2757,2069,1917
130,BLACK,948,613,405,130,BLACK,881,619,502,130,WHITE,2758,1738,1329,130,BLACK,1165,784,698,130,BLACK,1045,592,431,130,BLACK,1070,668,598,130,BLACK,1162,748,584,130,BLACK,1177,831,788,130,BLACK,1217,685,505,130,BLACK,1276,850,788,130,BLACK,1325,856,581,130,BLACK,1386,954,858,130,BLACK,1414,856,630,130,BLACK,1421,1022,971
131,HISPANIC ORIGIN,71,16,12,131,HISPANIC ORIGIN,149,61,61,131,BLACK,931,549,470,131,HISPANIC ORIGIN,131,30,30,131,HISPANIC ORIGIN,198,42,27,131,HISPANIC ORIGIN,282,58,53,131,HISPANIC ORIGIN,317,83,71,131,HISPANIC ORIGIN,269,93,91,131,HISPANIC ORIGIN,337,90,55,131,HISPANIC ORIGIN,342,115,103,131,HISPANIC ORIGIN,332,120,58,131,HISPANIC ORIGIN,450,170,148,131,HISPANIC ORIGIN,500,195,158,131,HISPANIC ORIGIN,323,150,145
132,MASSACHUSETTS TOTAL,4532,2993,2351,132,MASSACHUSETTS TOTAL,4560,3040,2569,132,MASSACHUSETTS TOTAL,4594,2947,2124,132,MASSACHUSETTS TOTAL,4614,3244,2772,132,MASSACHUSETTS TOTAL,4931,3198,2340,132,MASSACHUSETTS TOTAL,4840,3483,3085,132,MASSACHUSETTS TOTAL,4864,3180,2434,132,MASSACHUSETTS TOTAL,4962,3293,3044,132,MASSACHUSETTS TOTAL,5097,3230,2452,132,MASSACHUSETTS TOTAL,5170,3759,3382,132,MASSACHUSETTS TOTAL,5279,3250,2259,132,MASSACHUSETTS TOTAL,5374,3660,3315,132,MASSACHUSETTS TOTAL,5460,3345,2731,132,MASSACHUSETTS TOTAL,5514,3546,3249
133,MALE,2135,1374,1091,133,MALE,2157,1390,1147,133,MALE,2229,1425,1059,133,MALE,2212,1519,1296,133,MALE,2323,1445,1047,133,MALE,2299,1641,1429,133,MALE,2313,1471,1111,133,MALE,2385,1583,1458,133,MALE,2436,1486,1168,133,MALE,2452,1750,1576,133,MALE,2504,1485,1036,133,MALE,2585,1767,1599,133,MALE,2594,1556,1280,133,MALE,2642,1656,1505
134,FEMALE,2397,1619,1260,134,FEMALE,2403,1650,1422,134,FEMALE,2365,1522,1065,134,FEMALE,2403,1725,1476,134,FEMALE,2608,1752,1293,134,FEMALE,2541,1842,1656,134,FEMALE,2551,1710,1324,134,FEMALE,2576,1710,1586,134,FEMALE,2661,1743,1284,134,FEMALE,2718,2009,1807,134,FEMALE,2775,1765,1223,134,FEMALE,2788,1893,1715,134,FEMALE,2866,1789,1451,134,FEMALE,2872,1891,1744
135,WHITE,4179,2842,2235,135,WHITE,4187,2875,2438,135,HISPANIC ORIGIN,217,47,30,135,WHITE,4189,3047,2590,135,WHITE,4424,2980,2179,135,WHITE,4297,3234,2880,135,WHITE,4274,2945,2274,135,WHITE,4280,3026,2787,135,WHITE,4516,3037,2304,135,WHITE,4358,3331,3009,135,WHITE,4441,2980,2117,135,WHITE,4464,3229,2919,135,WHITE,4417,2934,2397,135,WHITE,4429,3174,2936
136,BLACK,214,120,94,136,BLACK,228,125,98,136,WHITE,4282,2830,2042,136,BLACK,311,173,158,136,BLACK,316,176,138,136,BLACK,292,148,127,136,BLACK,292,122,97,136,BLACK,310,145,145,136,BLACK,319,109,93,136,BLACK,385,228,211,136,BLACK,408,141,80,136,BLACK,438,266,242,136,BLACK,454,240,194,136,BLACK,489,165,142
137,HISPANIC ORIGIN,128,28,16,137,HISPANIC ORIGIN,161,48,36,137,BLACK,213,93,70,137,HISPANIC ORIGIN,251,103,51,137,HISPANIC ORIGIN,315,74,46,137,HISPANIC ORIGIN,323,140,106,137,HISPANIC ORIGIN,265,84,61,137,HISPANIC ORIGIN,286,103,77,137,HISPANIC ORIGIN,430,134,48,137,HISPANIC ORIGIN,453,216,202,137,HISPANIC ORIGIN,462,155,53,137,HISPANIC ORIGIN,500,199,177,137,HISPANIC ORIGIN,565,249,177,137,HISPANIC ORIGIN,636,271,227
138,MICHIGAN TOTAL,6921,5112,3623,138,MICHIGAN TOTAL,7018,5052,4080,138,MICHIGAN TOTAL,7227,5217,3590,138,MICHIGAN TOTAL,7231,4996,4343,138,MICHIGAN TOTAL,7629,5291,3684,138,MICHIGAN TOTAL,7452,5364,4818,138,MICHIGAN TOTAL,7458,5256,4088,138,MICHIGAN TOTAL,7487,5531,4865,138,MICHIGAN TOTAL,7513,5127,3394,138,MICHIGAN TOTAL,7496,5620,4832,138,MICHIGAN TOTAL,7576,5159,3416,138,MICHIGAN TOTAL,7624,5434,4713,138,MICHIGAN TOTAL,7657,5453,4418,138,MICHIGAN TOTAL,7790,5513,4994
139,MALE,3317,2393,1699,139,MALE,3370,2355,1865,139,MALE,3491,2470,1689,139,MALE,3517,2387,2057,139,MALE,3697,2474,1707,139,MALE,3604,2519,2261,139,MALE,3580,2483,1946,139,MALE,3609,2590,2249,139,MALE,3606,2393,1606,139,MALE,3601,2663,2273,139,MALE,3615,2397,1551,139,MALE,3650,2540,2150,139,MALE,3688,2563,2072,139,MALE,3795,2648,2378
140,FEMALE,3605,2719,1924,140,FEMALE,3649,2697,2215,140,FEMALE,3736,2747,1901,140,FEMALE,3713,2609,2287,140,FEMALE,3933,2817,1977,140,FEMALE,3848,2845,2558,140,FEMALE,3878,2773,2142,140,FEMALE,3877,2940,2616,140,FEMALE,3907,2734,1787,140,FEMALE,3895,2957,2559,140,FEMALE,3961,2762,1864,140,FEMALE,3974,2893,2563,140,FEMALE,3970,2890,2346,140,FEMALE,3995,2865,2616
141,WHITE,5801,4358,3077,141,WHITE,5992,4328,3483,141,HISPANIC ORIGIN,196,108,52,141,WHITE,6156,4325,3767,141,WHITE,6359,4578,3199,141,WHITE,6163,4526,4083,141,WHITE,6129,4404,3412,141,WHITE,6200,4642,4065,141,WHITE,6141,4376,2873,141,WHITE,6103,4758,4065,141,WHITE,6164,4280,2875,141,WHITE,6264,4579,3984,141,WHITE,6257,4620,3724,141,WHITE,6269,4568,4144
142,BLACK,971,702,514,142,BLACK,838,633,528,142,WHITE,6108,4469,3070,142,BLACK,891,621,534,142,BLACK,953,621,428,142,BLACK,957,676,599,142,BLACK,970,674,546,142,BLACK,968,738,679,142,BLACK,997,598,407,142,BLACK,1028,687,627,142,BLACK,979,685,438,142,BLACK,1039,708,623,142,BLACK,1027,670,557,142,BLACK,1021,713,628
143,HISPANIC ORIGIN,110,58,38,143,HISPANIC ORIGIN,165,87,65,143,BLACK,997,716,496,143,HISPANIC ORIGIN,156,51,40,143,HISPANIC ORIGIN,237,109,56,143,HISPANIC ORIGIN,201,73,71,143,HISPANIC ORIGIN,287,137,99,143,HISPANIC ORIGIN,198,85,70,143,HISPANIC ORIGIN,229,107,68,143,HISPANIC ORIGIN,285,193,158,143,HISPANIC ORIGIN,395,179,82,143,HISPANIC ORIGIN,288,101,74,143,HISPANIC ORIGIN,241,99,81,143,HISPANIC ORIGIN,406,178,165
144,MINNESOTA TOTAL,3296,2677,1929,144,MINNESOTA TOTAL,3375,2644,2259,144,MINNESOTA TOTAL,3443,2787,2212,144,MINNESOTA TOTAL,3506,2688,2376,144,MINNESOTA TOTAL,3823,2888,2450,144,MINNESOTA TOTAL,3766,3080,2887,144,MINNESOTA TOTAL,3855,2862,2375,144,MINNESOTA TOTAL,3898,2931,2759,144,MINNESOTA TOTAL,3982,2756,2104,144,MINNESOTA TOTAL,4055,3085,2859,144,MINNESOTA TOTAL,4104,2822,2047,144,MINNESOTA TOTAL,4190,3055,2738,144,MINNESOTA TOTAL,4238,3000,2523,144,MINNESOTA TOTAL,4339,3436,3225
145,MALE,1591,1294,925,145,MALE,1689,1263,1062,145,MALE,1740,1394,1098,145,MALE,1721,1257,1119,145,MALE,1872,1371,1181,145,MALE,1858,1471,1374,145,MALE,1908,1385,1173,145,MALE,1927,1394,1295,145,MALE,1965,1341,1016,145,MALE,1993,1496,1374,145,MALE,2007,1346,974,145,MALE,2063,1457,1312,145,MALE,2099,1429,1194,145,MALE,2149,1690,1575
146,FEMALE,1705,1383,1003,146,FEMALE,1686,1381,1197,146,FEMALE,1703,1393,1114,146,FEMALE,1785,1431,1257,146,FEMALE,1951,1517,1269,146,FEMALE,1908,1608,1513,146,FEMALE,1947,1477,1201,146,FEMALE,1972,1537,1464,146,FEMALE,2017,1415,1088,146,FEMALE,2062,1589,1485,146,FEMALE,2097,1476,1073,146,FEMALE,2127,1598,1426,146,FEMALE,2139,1570,1329,146,FEMALE,2190,1746,1649
147,WHITE,3154,2583,1884,147,WHITE,3202,2551,2181,147,HISPANIC ORIGIN,69,11,8,147,WHITE,3296,2592,2305,147,WHITE,3580,2795,2371,147,WHITE,3435,2884,2703,147,WHITE,3526,2731,2288,147,WHITE,3497,2740,2587,147,WHITE,3680,2639,2024,147,WHITE,3639,2846,2646,147,WHITE,3670,2667,1958,147,WHITE,3614,2723,2457,147,WHITE,3632,2727,2286,147,WHITE,3744,3086,2918
148,BLACK,99,62,26,148,BLACK,64,31,28,148,WHITE,3266,2730,2182,148,BLACK,95,54,41,148,BLACK,118,40,35,148,BLACK,128,83,83,148,BLACK,135,72,53,148,BLACK,181,87,82,148,BLACK,140,62,45,148,BLACK,179,95,88,148,BLACK,196,83,34,148,BLACK,193,126,112,148,BLACK,252,128,106,148,BLACK,260,139,130
149,HISPANIC ORIGIN,42,16,5,149,HISPANIC ORIGIN,82,12,10,149,BLACK,61,23,14,149,HISPANIC ORIGIN,50,9,9,149,HISPANIC ORIGIN,106,32,25,149,HISPANIC ORIGIN,108,53,49,149,HISPANIC ORIGIN,153,22,20,149,HISPANIC ORIGIN,128,39,35,149,HISPANIC ORIGIN,138,43,30,149,HISPANIC ORIGIN,136,54,44,149,HISPANIC ORIGIN,183,48,34,149,HISPANIC ORIGIN,255,54,50,149,HISPANIC ORIGIN,156,44,37,149,HISPANIC ORIGIN,209,116,98
150,MISSISSIPPI TOTAL,1863,1353,826,150,MISSISSIPPI TOTAL,1942,1389,1069,150,MISSISSIPPI TOTAL,1975,1446,793,150,MISSISSIPPI TOTAL,2029,1465,1213,150,MISSISSIPPI TOTAL,2014,1400,855,150,MISSISSIPPI TOTAL,2081,1510,1263,150,MISSISSIPPI TOTAL,2083,1437,879,150,MISSISSIPPI TOTAL,2109,1589,1439,150,MISSISSIPPI TOTAL,2113,1532,983,150,MISSISSIPPI TOTAL,2166,1794,1588,150,MISSISSIPPI TOTAL,2182,1628,907,150,MISSISSIPPI TOTAL,2203,1725,1470,150,MISSISSIPPI TOTAL,2194,1599,1180,150,MISSISSIPPI TOTAL,2212,1749,1531
151,MALE,860,617,404,151,MALE,905,637,495,151,MALE,886,630,329,151,MALE,943,655,535,151,MALE,948,619,383,151,MALE,972,677,538,151,MALE,971,620,379,151,MALE,1000,741,648,151,MALE,1000,674,425,151,MALE,1019,824,710,151,MALE,1028,740,413,151,MALE,1026,780,657,151,MALE,1027,718,531,151,MALE,1029,792,680
152,FEMALE,1003,736,422,152,FEMALE,1037,753,575,152,FEMALE,1089,816,464,152,FEMALE,1086,809,678,152,FEMALE,1065,781,472,152,FEMALE,1109,833,725,152,FEMALE,1112,817,500,152,FEMALE,1108,848,790,152,FEMALE,1113,857,558,152,FEMALE,1147,971,877,152,FEMALE,1154,888,493,152,FEMALE,1177,945,813,152,FEMALE,1167,881,650,152,FEMALE,1182,957,850
153,WHITE,1114,831,514,153,WHITE,1256,942,745,153,HISPANIC ORIGIN,22,8,4,153,WHITE,1394,1006,854,153,WHITE,1350,954,589,153,WHITE,1335,965,786,153,WHITE,1314,909,510,153,WHITE,1360,982,896,153,WHITE,1324,970,623,153,WHITE,1355,1094,951,153,WHITE,1352,964,536,153,WHITE,1377,1070,918,153,WHITE,1353,956,688,153,WHITE,1350,1054,921
