,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002
197,HISPANIC ORIGIN,551,274,195
198,NEW YORK TOTAL,14206,8261,5417
199,MALE,6688,3725,2515
200,FEMALE,7518,4536,2902
201,WHITE,10901,6816,4529
202,BLACK,2312,1165,752
203,HISPANIC ORIGIN,1898,674,370
204,NORTH CAROLINA TOTAL,5978,3662,2537
205,MALE,2829,1680,1183
206,FEMALE,3150,1982,1354
207,WHITE,4569,2883,1989
208,BLACK,1178,686,497
209,HISPANIC ORIGIN,268,33,22
210,NORTH DAKOTA TOTAL,492,405,279
211,MALE,231,188,129
212,FEMALE,261,217,150
213,WHITE,467,388,270
214,BLACK,2,1,1
215,HISPANIC ORIGIN,6,3,1
216,OHIO TOTAL,8604,5488,3652
217,MALE,4047,2490,1675
218,FEMALE,4557,2998,1977
219,WHITE,7456,4857,3243
220,BLACK,1009,596,396
221,HISPANIC ORIGIN,180,46,29
222,OKLAHOMA TOTAL,2515,1656,1201
223,MALE,1216,774,588
224,FEMALE,1299,882,612
225,WHITE,2018,1399,1026
226,BLACK,228,124,83
227,HISPANIC ORIGIN,103,38,29
228,OREGON TOTAL,2625,1718,1359
229,MALE,1317,832,647
230,FEMALE,1308,886,713
231,WHITE,2423,1620,1295
232,BLACK,48,30,28
233,HISPANIC ORIGIN,189,48,21
234,PENNSYLVANIA TOTAL,9404,5762,3925
235,MALE,4474,2760,1882
236,FEMALE,4930,3001,2043
237,WHITE,8334,5234,3568
238,BLACK,827,473,339
239,HISPANIC ORIGIN,309,109,66
240,RHODE ISLAND TOTAL,803,495,372
241,MALE,387,231,180
242,FEMALE,416,264,192
243,WHITE,730,473,357
244,BLACK,51,16,11
245,HISPANIC ORIGIN,69,16,12
246,SOUTH CAROLINA TOTAL,2967,1972,1353
247,MALE,1410,890,638
248,FEMALE,1557,1082,714
249,WHITE,2224,1473,1003
250,BLACK,714,488,347
251,HISPANIC ORIGIN,107,27,18
252,SOUTH DAKOTA TOTAL,573,428,375
253,MALE,279,197,171
254,FEMALE,294,231,204
255,WHITE,541,408,360
256,BLACK,4,3,2
257,HISPANIC ORIGIN,10,3,2
258,TENNESSEE TOTAL,4284,2587,1897
259,MALE,2047,1214,911
260,FEMALE,2237,1374,986
261,WHITE,3619,2256,1659
262,BLACK,557,301,222
263,HISPANIC ORIGIN,180,13,6
264,TEXAS TOTAL,14996,8591,5283
265,MALE,7212,3985,2485
266,FEMALE,7783,4606,2797
267,WHITE,12518,7224,4385
268,BLACK,1748,1139,774
269,HISPANIC ORIGIN,5149,2014,982
270,UTAH TOTAL,1522,928,631
271,MALE,755,439,295
272,FEMALE,767,489,337
273,WHITE,1446,901,618
274,BLACK,16,7,7
275,HISPANIC ORIGIN,124,31,11
276,VERMONT TOTAL,490,341,256
277,MALE,234,155,116
278,FEMALE,255,186,140
279,WHITE,482,337,252
280,BLACK,2,2,1
281,HISPANIC ORIGIN,2,2,1
282,VIRGINIA TOTAL,5194,3063,1808
283,MALE,2489,1424,905
284,FEMALE,2705,1639,902
285,WHITE,3799,2435,1437
286,BLACK,1060,503,288
287,HISPANIC ORIGIN,207,32,14
288,WASHINGTON TOTAL,4456,2901,2097
289,MALE,2184,1368,997
290,FEMALE,2272,1533,1099
291,WHITE,3926,2709,1974
292,BLACK,111,71,48
293,HISPANIC ORIGIN,244,63,34
294,WEST VIRGINIA TOTAL,1379,827,507
295,MALE,654,391,249
296,FEMALE,724,437,257
297,WHITE,1334,810,495
298,BLACK,34,15,10
299,HISPANIC ORIGIN,8,5,3
300,WISCONSIN TOTAL,4119,2744,1999
301,MALE,2073,1360,1005
302,FEMALE,2045,1383,994
303,WHITE,3801,2605,1905
304,BLACK,184,101,70
305,HISPANIC ORIGIN,201,51,20
306,WYOMING TOTAL,370,240,198
307,MALE,179,113,92
308,FEMALE,191,127,106
309,WHITE,356,234,195
310,BLACK,3,,
311,HISPANIC ORIGIN,19,10,7
