,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996
204,NORTH CAROLINA TOTAL,5364,3673,2897
205,MALE,2553,1741,1352
206,FEMALE,2811,1932,1544
207,WHITE,4165,2930,2351
208,BLACK,1007,660,490
209,HISPANIC ORIGIN,135,13,10
210,NORTH DAKOTA TOTAL,456,412,300
211,MALE,227,204,149
212,FEMALE,228,208,151
213,WHITE,443,401,294
214,BLACK,1,1,1
215,HISPANIC ORIGIN,3,2,1
216,OHIO TOTAL,8192,5604,4811
217,MALE,3858,2611,2228
218,FEMALE,4334,2993,2582
219,WHITE,7210,5087,4381
220,BLACK,860,488,406
221,HISPANIC ORIGIN,76,35,30
222,OKLAHOMA TOTAL,2356,1652,1379
223,MALE,1064,711,602
224,FEMALE,1292,941,777
225,WHITE,1937,1381,1172
226,BLACK,219,147,114
227,HISPANIC ORIGIN,41,13,11
228,OREGON TOTAL,2395,1746,1462
229,MALE,1185,823,686
230,FEMALE,1210,923,776
231,WHITE,2279,1678,1405
232,BLACK,48,39,34
233,HISPANIC ORIGIN,111,31,16
234,PENNSYVANNIA TOTAL,8996,5902,4951
235,MALE,4282,2871,2428
236,FEMALE,4714,3031,2523
237,WHITE,8070,5328,4463
238,BLACK,785,528,453
239,HISPANIC ORIGIN,171,95,64
240,RHODE ISLAND TOTAL,725,519,439
241,MALE,336,237,201
242,FEMALE,389,283,238
243,WHITE,676,503,424
244,BLACK,38,11,10
245,HISPANIC ORIGIN,29,8,7
246,SOUTH CAROLINA TOTAL,2716,1851,1479
247,MALE,1269,840,660
248,FEMALE,1447,1011,819
249,WHITE,2005,1399,1127
250,BLACK,677,436,338
251,HISPANIC ORIGIN,18,6,6
252,SOUTH DAKOTA TOTAL,523,391,336
253,MALE,257,185,161
254,FEMALE,266,205,175
255,WHITE,492,373,323
256,BLACK,2,1,1
257,HISPANIC ORIGIN,4,1,1
258,TENNESSEE TOTAL,4014,2647,2133
259,MALE,1948,1276,1032
260,FEMALE,2066,1372,1100
261,WHITE,3272,2170,1728
262,BLACK,717,471,401
263,HISPANIC ORIGIN,33,9,3
264,TEXAS TOTAL,13431,8316,6210
265,MALE,6543,4001,2929
266,FEMALE,6888,4315,3281
267,WHITE,11545,7234,5392
268,BLACK,1446,914,681
269,HISPANIC ORIGIN,3804,1623,1060
270,UTAH TOTAL,1334,861,707
271,MALE,651,396,329
272,FEMALE,683,465,378
273,WHITE,1295,847,698
274,BLACK,8,2,2
275,HISPANIC ORIGIN,87,33,25
276,VERMONT TOTAL,434,313,258
277,MALE,215,149,120
278,FEMALE,220,164,139
279,WHITE,429,310,256
280,BLACK,1,1,1
281,HISPANIC ORIGIN,3,3,3
282,VIRGINIA TOTAL,4955,3294,2796
283,MALE,2303,1470,1240
284,FEMALE,2652,1823,1556
285,WHITE,3768,2576,2206
286,BLACK,1029,659,548
287,HISPANIC ORIGIN,124,34,31
288,WASHINGTON TOTAL,4059,2840,2436
289,MALE,2001,1365,1157
290,FEMALE,2058,1475,1279
291,WHITE,3779,2686,2306
292,BLACK,52,38,38
293,HISPANIC ORIGIN,167,54,50
294,WEST VIRGINIA TOTAL,1423,921,715
295,MALE,658,413,321
296,FEMALE,765,508,393
297,WHITE,1368,900,706
298,BLACK,41,19,8
299,HISPANIC ORIGIN,3,1,1
300,WISCONSIN TOTAL,3736,2900,2330
301,MALE,1877,1428,1130
302,FEMALE,1859,1471,1200
303,WHITE,3493,2772,2242
304,BLACK,137,97,76
305,HISPANIC ORIGIN,98,33,24
306,WYOMING TOTAL,347,247,230
307,MALE,169,119,110
308,FEMALE,179,129,120
309,WHITE,339,244,227
310,BLACK,2,,
311,HISPANIC ORIGIN,16,7,6
