,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994
180,NEW HAMPSHIRE TOTAL,832,539,347
181,MALE,412,271,170
182,FEMALE,420,269,177
183,WHITE,817,533,344
184,BLACK,3,0,0
185,HISPANIC ORIGIN,13,1,1
186,NEW JERSEY TOTAL,5918,3698,2426
187,MALE,2817,1767,1161
188,FEMALE,3101,1931,1266
189,WHITE,4839,3202,2152
190,BLACK,776,412,228
191,HISPANIC ORIGIN,546,187,98
192,NEW MEXICO TOTAL,1175,695,552
193,MALE,566,335,274
194,FEMALE,609,360,278
195,WHITE,1059,632,509
196,BLACK,13,9,4
197,HISPANIC ORIGIN,399,189,145
198,NEW YORK TOTAL,13599,7848,6158
199,MALE,6379,3627,2861
200,FEMALE,7221,4221,3297
201,WHITE,11083,6843,5418
202,BLACK,1840,845,639
203,HISPANIC ORIGIN,1529,476,303
204,NORTH CAROLINA TOTAL,5211,3173,1864
205,MALE,2460,1452,891
206,FEMALE,2751,1721,974
207,WHITE,3901,2496,1499
208,BLACK,1222,649,346
209,HISPANIC ORIGIN,83,19,8
210,NORTH DAKOTA TOTAL,441,412,270
211,MALE,217,203,137
212,FEMALE,224,209,133
213,WHITE,426,399,262
214,BLACK,1,0,0
215,HISPANIC ORIGIN,2,1,0
216,OHIO TOTAL,8152,5280,3805
217,MALE,3819,2432,1773
218,FEMALE,4334,2847,2032
219,WHITE,7343,4855,3485
220,BLACK,721,398,299
221,HISPANIC ORIGIN,76,33,21
222,OKLAHOMA TOTAL,2325,1532,1089
223,MALE,1078,683,515
224,FEMALE,1247,850,575
225,WHITE,1963,1344,977
226,BLACK,214,107,68
227,HISPANIC ORIGIN,78,31,10
228,OREGON TOTAL,2309,1688,1415
229,MALE,1153,805,674
230,FEMALE,1156,883,740
231,WHITE,2166,1644,1375
232,BLACK,40,20,18
233,HISPANIC ORIGIN,97,28,20
234,PENNSYLVANIA TOTAL,9004,5317,3854
235,MALE,4331,2531,1886
236,FEMALE,4673,2787,1968
237,WHITE,7914,4666,3404
238,BLACK,881,596,421
239,HISPANIC ORIGIN,191,70,32
240,RHODE ISLAND TOTAL,729,475,373
241,MALE,336,221,178
242,FEMALE,393,254,195
243,WHITE,684,454,358
244,BLACK,27,17,12
245,HISPANIC ORIGIN,36,11,6
246,SOUTH CAROLINA TOTAL,2681,1635,1217
247,MALE,1261,766,581
248,FEMALE,1420,869,636
249,WHITE,1765,1108,872
250,BLACK,882,520,341
251,HISPANIC ORIGIN,16,0,0
252,SOUTH DAKOTA TOTAL,495,374,317
253,MALE,239,176,152
254,FEMALE,256,198,165
255,WHITE,477,365,313
256,BLACK,2,1,1
257,HISPANIC ORIGIN,3,1,1
258,TENNESSEE TOTAL,3856,2460,1662
259,MALE,1810,1172,842
260,FEMALE,2046,1287,820
261,WHITE,3264,2084,1452
262,BLACK,513,359,198
263,HISPANIC ORIGIN,30,7,0
264,TEXAS TOTAL,13134,7685,4964
265,MALE,6411,3619,2325
266,FEMALE,6723,4066,2639
267,WHITE,11288,6761,4447
268,BLACK,1285,752,426
269,HISPANIC ORIGIN,3909,1553,740
270,UTAH TOTAL,1231,733,544
271,MALE,605,348,260
272,FEMALE,625,385,285
273,WHITE,1180,721,537
274,BLACK,18,7,4
275,HISPANIC ORIGIN,79,14,8
276,VERMONT TOTAL,432,307,212
277,MALE,211,143,97
278,FEMALE,221,163,114
279,WHITE,426,304,210
280,BLACK,1,0,0
281,HISPANIC ORIGIN,2,2,1
282,VIRGINIA TOTAL,4760,2888,2204
283,MALE,2235,1327,1032
284,FEMALE,2526,1561,1173
285,WHITE,3628,2329,1828
286,BLACK,989,505,334
287,HISPANIC ORIGIN,117,46,28
288,WASHINGTON TOTAL,3924,2636,1826
289,MALE,1904,1260,868
290,FEMALE,2021,1376,958
291,WHITE,3605,2499,1755
292,BLACK,100,62,25
293,HISPANIC ORIGIN,71,21,19
294,WEST VIRGINIA TOTAL,1396,852,475
295,MALE,675,409,235
296,FEMALE,721,443,240
297,WHITE,1329,820,460
298,BLACK,57,29,13
299,HISPANIC ORIGIN,4,0,0
300,WISCONSIN TOTAL,3638,2813,1808
301,MALE,1815,1362,895
302,FEMALE,1824,1450,912
303,WHITE,3458,2713,1755
304,BLACK,125,69,39
305,HISPANIC ORIGIN,43,7,3
306,WYOMING TOTAL,333,230,212
307,MALE,164,112,102
308,FEMALE,169,118,110
309,WHITE,325,225,208
310,BLACK,3,2,2
311,HISPANIC ORIGIN,14,6,5
