,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998
60,FLORIDA TOTAL,11275,6653,4403
61,MALE,5301,3011,1994
62,FEMALE,5974,3641,2409
63,HISPANIC ORIGIN,1917,687,439
64,WHITE,9568,5843,3882
65,BLACK,1417,714,473
66,GEORGIA TOTAL,5581,3462,2090
67,MALE,2605,1592,995
68,FEMALE,2977,1869,1095
69,HISPANIC ORIGIN,127,43,32
70,WHITE,3762,2332,1385
71,BLACK,1744,1118,700
72,HAWAII TOTAL,855,463,411
73,MALE,396,222,202
74,FEMALE,459,240,210
75,HISPANIC ORIGIN,28,13,13
76,WHITE,192,117,98
77,BLACK,7,6,5
78,IDAHO TOTAL,881,528,396
79,MALE,450,259,189
80,FEMALE,431,269,207
81,HISPANIC ORIGIN,72,8,7
82,WHITE,859,521,392
83,BLACK,3,1,1
84,ILLINOIS TOTAL,8659,5530,3857
85,MALE,4187,2598,1821
86,FEMALE,4472,2932,2036
87,HISPANIC ORIGIN,755,229,156
88,WHITE,7130,4623,3162
89,BLACK,1179,828,650
90,INDIANA TOTAL,4377,2702,1751
91,MALE,2098,1272,811
92,FEMALE,2279,1429,940
93,HISPANIC ORIGIN,83,34,9
94,WHITE,3983,2500,1605
95,BLACK,313,187,138
96,IOWA TOTAL,2102,1562,1084
97,MALE,1017,737,510
98,FEMALE,1085,825,574
99,HISPANIC ORIGIN,24,9,0
100,WHITE,2031,1520,1068
101,BLACK,21,14,4
102,KANSAS TOTAL,1868,1191,749
103,MALE,898,562,360
104,FEMALE,969,629,389
105,HISPANIC ORIGIN,71,19,8
106,WHITE,1708,1150,733
107,BLACK,91,34,12
108,KENTUCKY TOTAL,2956,1921,1311
109,MALE,1445,937,652
110,FEMALE,1511,984,659
111,HISPANIC ORIGIN,21,5,0
112,WHITE,2757,1831,1255
113,BLACK,175,78,51
114,LOUISIANA TOTAL,3114,2261,1193
115,MALE,1508,1097,592
116,FEMALE,1606,1165,601
117,HISPANIC ORIGIN,66,41,14
118,WHITE,2066,1554,738
119,BLACK,980,681,450
120,MAINE TOTAL,938,704,450
121,MALE,458,333,212
122,FEMALE,480,371,238
123,HISPANIC ORIGIN,3,3,2
124,WHITE,922,695,443
125,BLACK,4,1,0
126,MARYLAND TOTAL,3861,2331,1825
127,MALE,1842,1100,874
128,FEMALE,2019,1231,950
129,HISPANIC ORIGIN,131,25,21
130,WHITE,2758,1738,1329
131,BLACK,931,549,470
132,MASSACHUSETTS TOTAL,4594,2947,2124
133,MALE,2229,1425,1059
134,FEMALE,2365,1522,1065
135,HISPANIC ORIGIN,217,47,30
136,WHITE,4282,2830,2042
137,BLACK,213,93,70
138,MICHIGAN TOTAL,7227,5217,3590
139,MALE,3491,2470,1689
140,FEMALE,3736,2747,1901
141,HISPANIC ORIGIN,196,108,52
142,WHITE,6108,4469,3070
143,BLACK,997,716,496
144,MINNESOTA TOTAL,3443,2787,2212
145,MALE,1740,1394,1098
146,FEMALE,1703,1393,1114
147,HISPANIC ORIGIN,69,11,8
148,WHITE,3266,2730,2182
149,BLACK,61,23,14
150,MISSISSIPPI TOTAL,1975,1446,793
151,MALE,886,630,329
152,FEMALE,1089,816,464
153,HISPANIC ORIGIN,22,8,4
154,WHITE,1277,960,520
155,BLACK,670,478,271
156,MISSOURI TOTAL,3967,2848,1816
157,MALE,1857,1302,838
158,FEMALE,2110,1547,978
159,HISPANIC ORIGIN,66,20,14
160,WHITE,3575,2586,1680
161,BLACK,339,232,117
162,MONTANA TOTAL,654,472,349
163,MALE,322,227,168
164,FEMALE,331,246,180
165,HISPANIC ORIGIN,8,5,2
166,WHITE,604,448,333
167,BLACK,1,1,0
168,NEBRASKA TOTAL,1193,790,540
169,MALE,575,365,248
170,FEMALE,619,424,292
171,HISPANIC ORIGIN,47,11,3
172,WHITE,1141,769,526
173,BLACK,30,18,13
174,NEVADA TOTAL,1298,606,429
175,MALE,654,291,203
176,FEMALE,644,315,226
177,HISPANIC ORIGIN,201,28,14
178,WHITE,1128,547,396
179,BLACK,88,40,25
180,NEW HAMPSHIRE TOTAL,874,563,357
181,MALE,422,274,170
182,FEMALE,452,290,187
183,HISPANIC ORIGIN,15,3,2
184,WHITE,852,553,351
185,BLACK,6,1,1
186,NEW JERSEY TOTAL,6059,3638,2152
187,MALE,2877,1655,1038
188,FEMALE,3182,1984,1114
189,HISPANIC ORIGIN,630,265,148
190,WHITE,4932,3091,1785
191,BLACK,886,480,328
192,NEW MEXICO TOTAL,1253,756,604
193,MALE,615,359,289
194,FEMALE,638,397,315
195,HISPANIC ORIGIN,535,276,210
196,WHITE,1099,662,523
197,BLACK,16,9,3
198,NEW YORK TOTAL,13440,7656,5568
199,MALE,6487,3581,2635
200,FEMALE,6953,4075,2934
201,HISPANIC ORIGIN,1984,699,465
202,WHITE,10598,6498,4745
203,BLACK,2082,1006,720
204,NORTH CAROLINA TOTAL,5536,3468,2180
205,MALE,2664,1620,1044
206,FEMALE,2872,1848,1136
207,HISPANIC ORIGIN,112,14,3
208,WHITE,4081,2677,1654
209,BLACK,1276,732,487
210,NORTH DAKOTA TOTAL,460,416,262
211,MALE,226,203,129
212,FEMALE,234,213,133
213,HISPANIC ORIGIN,1,1,0
214,WHITE,438,396,250
215,BLACK,0,0,0
216,OHIO TOTAL,8263,5266,3685
217,MALE,3887,2460,1708
218,FEMALE,4376,2806,1977
219,HISPANIC ORIGIN,98,37,26
220,WHITE,7310,4689,3272
221,BLACK,821,525,384
222,OKLAHOMA TOTAL,2426,1556,973
223,MALE,1177,715,477
224,FEMALE,1249,841,496
225,HISPANIC ORIGIN,74,29,11
226,WHITE,1988,1295,828
227,BLACK,213,129,68
228,OREGON TOTAL,2474,1635,1163
229,MALE,1225,763,562
230,FEMALE,1250,871,601
231,HISPANIC ORIGIN,180,34,15
232,WHITE,2310,1562,1119
233,BLACK,38,28,16
234,PENNSYLVANIA TOTAL,8942,5452,3503
235,MALE,4136,2569,1658
236,FEMALE,4806,2884,1845
237,HISPANIC ORIGIN,245,107,41
238,WHITE,7966,4957,3203
239,BLACK,784,469,288
240,RHODE ISLAND TOTAL,726,478,352
241,MALE,334,223,168
242,FEMALE,392,255,184
243,HISPANIC ORIGIN,36,5,2
244,WHITE,682,460,340
245,BLACK,37,16,9
246,SOUTH CAROLINA TOTAL,2817,1907,1328
247,MALE,1328,852,593
248,FEMALE,1489,1055,734
249,HISPANIC ORIGIN,24,6,3
250,WHITE,2056,1397,1004
251,BLACK,741,504,317
252,SOUTH DAKOTA TOTAL,529,364,268
253,MALE,269,183,138
254,FEMALE,260,181,130
255,HISPANIC ORIGIN,4,3,2
256,WHITE,498,351,262
257,BLACK,2,0,0
258,TENNESSEE TOTAL,4080,2607,1478
259,MALE,1940,1212,708
260,FEMALE,2140,1395,769
261,HISPANIC ORIGIN,20,10,0
262,WHITE,3425,2187,1225
263,BLACK,635,411,248
264,TEXAS TOTAL,14080,8301,4636
265,MALE,6691,3825,2150
266,FEMALE,7389,4476,2487
267,HISPANIC ORIGIN,4057,1609,623
268,WHITE,12019,7176,4020
269,BLACK,1614,1003,572
270,UTAH TOTAL,1408,788,562
271,MALE,671,373,266
272,FEMALE,738,415,296
273,HISPANIC ORIGIN,86,25,17
274,WHITE,1365,778,558
275,BLACK,5,2,0
276,VERMONT TOTAL,444,316,229
277,MALE,219,153,110
278,FEMALE,225,163,119
279,HISPANIC ORIGIN,2,1,1
280,WHITE,436,313,227
281,BLACK,0,0,0
282,VIRGINIA TOTAL,4969,2996,1496
283,MALE,2345,1339,719
284,FEMALE,2624,1657,777
285,HISPANIC ORIGIN,107,18,0
286,WHITE,3765,2389,1219
287,BLACK,1054,565,251
288,WASHINGTON TOTAL,4179,2622,1905
289,MALE,2076,1236,897
290,FEMALE,2102,1386,1008
291,HISPANIC ORIGIN,182,64,31
292,WHITE,3766,2456,1810
293,BLACK,81,40,16
294,WEST VIRGINIA TOTAL,1401,880,503
295,MALE,655,392,228
296,FEMALE,745,488,274
297,HISPANIC ORIGIN,5,1,1
298,WHITE,1369,859,491
299,BLACK,22,11,8
300,WISCONSIN TOTAL,3790,2602,1905
301,MALE,1840,1225,912
302,FEMALE,1950,1377,994
303,HISPANIC ORIGIN,25,14,7
304,WHITE,3489,2457,1833
305,BLACK,187,104,66
306,WYOMING TOTAL,346,227,188
307,MALE,175,113,93
308,FEMALE,171,114,95
309,HISPANIC ORIGIN,13,6,5
310,WHITE,332,221,183
311,BLACK,4,0,0
