,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004
246,SOUTH CAROLINA TOTAL,3061,2238,1899
247,MALE,1441,1009,862
248,FEMALE,1620,1230,1037
249,WHITE,2188,1627,1387
250,BLACK,837,595,498
251,HISPANIC ORIGIN,52,13,13
252,SOUTH DAKOTA TOTAL,564,425,378
253,MALE,275,196,174
254,FEMALE,289,229,204
255,WHITE,530,408,366
256,BLACK,2,,
257,HISPANIC ORIGIN,10,4,4
258,TENNESSEE TOTAL,4402,2739,2319
259,MALE,2118,1262,1075
260,FEMALE,2283,1477,1243
261,WHITE,3655,2288,1954
262,BLACK,651,416,334
263,HISPANIC ORIGIN,128,16,9
264,TEXAS TOTAL,15813,9681,7950
265,MALE,7667,4548,3684
266,FEMALE,8146,5133,4266
267,WHITE,13246,8148,6706
268,BLACK,1669,1141,931
269,HISPANIC ORIGIN,5232,2170,1533
270,UTAH TOTAL,1629,1141,1022
271,MALE,811,547,494
272,FEMALE,818,594,529
273,WHITE,1561,1120,1003
274,BLACK,10,5,5
275,HISPANIC ORIGIN,104,28,27
276,VERMONT TOTAL,482,354,316
277,MALE,233,168,147
278,FEMALE,249,186,168
279,WHITE,463,344,308
280,BLACK,2,,
281,HISPANIC ORIGIN,3,2,2
282,VIRGINIA TOTAL,5364,3441,3134
283,MALE,2538,1584,1444
284,FEMALE,2826,1856,1690
285,WHITE,4101,2798,2586
286,BLACK,961,551,477
287,HISPANIC ORIGIN,301,78,70
288,WASHINGTON TOTAL,4596,3133,2851
289,MALE,2214,1488,1343
290,FEMALE,2382,1645,1508
291,WHITE,3792,2722,2497
292,BLACK,141,80,67
293,HISPANIC ORIGIN,248,56,44
294,WEST VIRGINIA TOTAL,1395,935,798
295,MALE,676,434,367
296,FEMALE,720,502,431
297,WHITE,1331,897,765
298,BLACK,42,23,20
299,HISPANIC ORIGIN,5,1,1
300,WISCONSIN TOTAL,4126,3225,3010
301,MALE,2017,1551,1449
302,FEMALE,2109,1675,1561
303,WHITE,3793,3019,2816
304,BLACK,195,141,133
305,HISPANIC ORIGIN,203,72,67
306,WYOMING TOTAL,373,265,247
307,MALE,187,129,122
308,FEMALE,186,135,126
309,WHITE,358,258,241
310,BLACK,3,1,1
311,HISPANIC ORIGIN,20,11,10
